,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
0,русский язык,4609.11,2686.8,1891.3,3373.6,3965.1,4351.1,3109.8,1940.0
1,английский язык,1153.74,40.7,75.6,941.2,873.2,1022.9,927.5,484.8
2,литературный язык,787.13,1026.8,1011.0,1027.8,830.1,673.3,400.1,214.4
3,картина мир,730.77,1.2,2.3,7.0,257.6,694.6,723.6,422.2
4,немецкий язык,443.49,33.5,52.8,400.6,352.7,424.4,302.9,152.8
5,языковой личность,363.68,0.0,0.0,0.1,142.2,340.4,365.6,182.4
6,русский речь,340.31,448.8,223.0,268.2,470.4,275.7,226.6,191.8
7,тюркский язык,340.27,74.2,1612.7,830.0,186.7,174.0,140.6,132.1
8,языковой картина,314.63,0.0,0.3,1.9,94.0,296.0,321.6,134.0
9,фразеологический единица,301.7,8.4,69.3,238.1,261.7,267.7,232.4,80.4
10,зарубежный лингвистика,262.65,0.0,2.3,85.9,271.8,284.1,161.8,43.7
11,французский язык,271.5,50.3,42.5,240.1,199.2,252.5,193.3,203.6
12,семантический поле,242.35,3.6,8.0,102.4,191.7,248.9,168.6,162.2
13,иностранный язык,240.15,33.5,41.8,217.1,201.7,213.3,178.1,143.4
14,семантический структура,237.45,4.8,35.5,307.2,273.3,232.0,117.9,40.4
15,когнитивный лингвистика,234.03,0.0,0.0,0.0,33.2,187.9,284.4,207.3
16,разговорный речь,232.99,333.9,165.2,271.6,259.8,218.0,111.1,136.4
17,настоящий время,231.77,150.8,304.9,250.3,168.6,161.1,188.0,235.6
18,лексический единица,228.29,9.6,50.6,160.2,157.2,212.2,173.9,142.5
19,речевой акт,224.15,20.3,3.8,43.0,197.6,229.1,165.7,111.4
20,языковой единица,215.79,8.4,19.6,90.5,190.2,218.9,150.4,80.9
21,языковой сознание,209.85,14.4,3.6,5.6,60.4,199.8,210.7,82.8
22,речевой деятельность,192.74,25.1,7.7,74.9,175.2,195.4,135.5,71.9
23,лексический значение,191.17,33.5,72.2,191.0,211.9,185.8,102.6,75.7
24,анализ язык,251.96,7.2,12.7,43.7,158.3,272.2,184.7,72.9
25,система язык,201.45,20.3,38.9,157.0,194.9,197.2,128.1,56.0
26,языковой средство,180.41,69.4,26.8,94.3,128.9,165.7,146.7,108.1
27,имя существительное,169.03,100.5,117.0,189.6,159.8,156.9,96.0,26.8
28,межкультурный коммуникация,161.95,0.0,0.0,0.7,9.8,137.4,191.2,119.9
29,татарский язык,175.21,3.6,242.6,148.0,87.1,159.2,118.9,38.6
30,логический анализ,271.97,15.6,24.0,75.1,173.2,290.8,195.5,70.1
31,грамматический категория,147.9,27.5,74.7,150.5,163.8,134.6,89.0,39.0
32,сложный предложение,147.47,29.9,141.3,167.8,184.7,146.1,57.3,27.7
33,русский грамматика,145.2,40.7,27.3,115.3,163.9,138.4,90.9,39.5
34,простой предложение,137.41,21.5,66.0,161.8,175.0,125.1,73.8,21.6
35,политический дискурс,139.18,0.0,0.0,0.5,17.0,106.5,175.8,135.4
36,общий языкознание,132.85,7.2,27.1,115.9,103.2,126.2,92.2,41.8
37,языковой система,130.73,28.7,22.7,77.2,124.5,125.1,91.9,51.7
38,речевой жанр,129.15,1.2,0.2,7.0,46.3,123.3,127.5,32.9
39,носитель язык,130.01,25.1,11.8,36.6,90.2,120.0,112.5,104.4
40,семантический группа,127.12,3.6,24.0,132.2,118.9,124.4,74.3,50.8
41,язык славянский,123.56,6.0,2.8,1.8,7.2,83.0,172.0,115.7
42,славянский язык,239.17,313.6,220.7,254.0,275.4,192.7,151.9,121.3
43,речевой поведение,121.84,18.0,2.1,13.4,79.4,123.8,99.9,48.4
44,речевой общение,112.62,12.0,5.9,24.4,93.8,112.1,88.1,34.3
45,семантический анализ,113.56,2.4,10.5,100.2,101.8,108.1,76.7,39.0
46,лингвистический анализ,129.26,10.8,16.2,66.9,109.1,125.7,94.2,62.1
47,структура слово,119.56,10.8,45.4,170.4,129.7,117.4,53.5,22.1
48,лингвистический термин,125.32,10.8,15.5,67.4,90.9,116.4,101.3,54.5
49,прагматический аспект,105.81,0.0,0.2,21.2,83.6,111.4,76.6,47.5
50,функциональный грамматика,100.07,0.0,0.2,18.5,111.6,104.7,67.8,9.9
51,ключевой слово,98.21,0.0,11.4,13.2,23.3,76.0,115.0,125.5
52,русский глагол,114.22,13.2,14.1,81.8,141.4,114.8,62.6,69.6
53,теория язык,127.79,4.8,8.3,56.7,79.6,120.2,108.5,42.3
54,русский литература,112.6,83.8,82.2,77.5,108.1,101.5,76.1,41.8
55,русский фразеология,96.63,6.0,9.3,52.5,72.5,98.0,68.4,16.9
56,член предложение,95.84,53.9,130.1,148.3,128.3,81.2,39.4,12.2
57,сложный слово,109.19,62.2,164.2,122.3,64.0,99.3,62.3,35.3
58,лексический семантика,93.74,0.0,5.6,49.8,87.1,97.5,59.1,44.7
59,множественный число,93.68,252.5,180.5,111.4,72.6,60.2,69.8,73.8
60,единица язык,100.3,10.8,19.0,68.6,107.9,98.6,62.5,37.6
61,речевой воздействие,92.66,0.0,0.8,11.4,50.4,86.1,88.4,40.0
62,сложноподчиненный предложение,92.32,13.2,108.3,122.6,87.3,92.0,35.3,22.6
63,структура предложение,91.61,10.8,28.4,158.5,130.1,80.3,41.0,15.5
64,германский язык,109.27,12.0,14.2,137.9,115.9,100.4,65.6,16.0
65,когнитивный аспект,90.95,0.0,0.0,0.1,49.9,95.2,76.1,26.3
66,родной язык,101.27,93.3,94.4,96.5,92.0,77.6,74.8,125.5
67,порядок слово,83.35,46.7,57.8,89.5,81.2,68.3,58.3,34.8
68,дагестанский язык,90.26,0.0,13.6,17.9,74.4,84.8,77.3,13.2
69,история язык,116.32,59.8,83.3,122.9,104.3,102.9,74.3,41.8
70,форма глагол,84.76,45.5,95.7,91.6,76.8,61.5,65.9,40.4
71,функциональный стиль,80.19,14.4,10.9,107.7,80.8,77.3,42.7,16.9
72,словарный состав,80.0,61.0,75.2,107.1,67.9,71.6,43.8,21.6
73,аварский язык,79.86,0.0,1.1,23.2,106.2,69.8,65.9,0.9
74,синтаксический конструкция,77.79,32.3,44.4,82.4,87.0,69.6,45.8,39.0
75,языковой игра,77.62,0.0,0.0,0.6,21.3,77.7,74.1,26.3
76,устный речь,76.84,132.8,60.3,60.0,83.1,63.8,51.9,68.2
77,лексический система,76.28,4.8,20.6,49.0,68.2,75.6,49.9,28.7
78,теория перевод,77.12,1.2,3.6,25.8,31.1,76.7,62.9,103.4
79,башкирский язык,82.42,1.2,131.5,88.7,37.4,57.6,70.3,71.5
80,семантика слово,79.5,14.4,14.5,52.4,86.5,82.3,44.7,23.5
81,структура язык,89.29,13.2,22.1,89.6,93.5,86.6,51.6,16.9
82,древнерусский язык,73.96,167.6,81.2,81.8,89.2,59.2,42.9,44.2
83,семантический категория,72.76,2.4,2.6,51.4,76.4,68.7,49.8,42.3
84,прошедший время,76.35,41.9,93.1,70.0,52.4,41.7,78.8,126.0
85,синтаксический структура,72.03,12.0,39.0,86.9,69.9,64.1,43.4,38.1
86,китайский язык,78.28,1.2,4.7,15.6,54.0,54.7,86.9,185.3
87,производный слово,73.94,27.5,30.4,80.1,74.8,74.4,37.2,7.5
88,языковой значение,70.77,1.2,3.1,32.3,73.1,75.4,42.7,14.1
89,русский говор,83.24,52.7,50.8,66.6,72.3,72.4,59.8,51.7
90,испанский язык,70.88,1.2,2.5,71.0,34.5,48.5,75.8,60.7
91,художественный речь,68.34,85.0,24.2,68.9,71.6,67.8,35.5,10.3
92,тип языковой,68.33,1.2,0.7,23.4,61.0,71.2,47.3,17.4
93,средство язык,79.83,25.1,20.4,48.9,74.4,78.7,52.3,32.9
94,языковый единица,66.43,2.4,3.9,31.2,53.7,65.6,49.2,26.3
95,грамматический значение,65.84,22.7,44.1,85.9,75.2,55.2,39.0,27.7
96,национальный язык,95.55,56.2,66.5,99.7,65.7,80.2,70.2,64.4
97,языковой явление,65.49,32.3,32.2,51.2,60.6,59.7,44.5,32.4
98,описание язык,86.37,2.4,6.5,30.0,64.3,89.4,61.8,39.5
99,теория метафора,64.37,0.0,0.2,0.5,41.2,64.2,56.6,14.6
100,монгольский язык,69.63,15.6,82.8,54.5,47.2,59.0,51.3,35.3
101,лингвистический теория,67.81,3.6,5.6,25.3,60.5,68.1,48.5,30.6
102,развитие язык,79.38,50.3,55.2,88.2,70.8,68.5,51.1,52.2
103,лезгинский язык,63.12,0.0,2.5,4.2,51.5,57.9,58.8,2.8
104,исторический грамматика,62.56,38.3,39.2,71.4,62.3,53.9,40.0,19.7
105,даргинский язык,62.9,0.0,0.5,7.0,20.4,53.6,70.6,0.9
106,русский синтаксис,61.93,21.5,9.8,50.0,81.0,60.7,34.5,10.3
107,грамматический форма,61.74,64.6,88.2,70.5,61.5,49.5,37.7,18.8
108,коммуникативный аспект,60.84,0.0,0.5,20.2,71.3,65.4,35.9,13.2
109,лингвистический семантика,62.7,1.2,0.8,19.6,46.7,66.3,44.8,11.3
110,лингвистический аспект,123.27,3.6,4.2,31.2,86.2,121.4,100.7,51.7
111,семантический система,59.88,3.6,11.3,63.0,61.3,58.4,34.0,21.2
112,жанр речь,58.85,1.2,0.0,1.0,12.3,60.8,54.7,15.5
113,естественный язык,59.66,1.2,10.6,21.4,53.3,57.0,45.7,29.6
114,речевой коммуникация,58.91,2.4,1.3,7.4,32.8,59.4,50.0,23.0
115,объект лингвистический,57.32,0.0,1.3,21.4,43.6,53.1,48.8,24.9
116,азербайджанский язык,61.57,0.0,327.7,214.4,32.4,26.9,13.9,16.5
