,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
1,русский язык,4609.11,2686.8,1891.3,3373.6,3965.1,4351.1,3109.8,1940,0.1868,95.66,123
2,английский язык,1153.74,40.7,75.6,941.2,873.2,1022.9,927.5,484.8,0.3939,91.84,123
3,литературный язык,787.13,1026.8,1011,1027.8,830.1,673.3,400.1,214.4,0.2229,95.36,123
4,картина мир,730.77,1.2,2.3,7,257.6,694.6,723.6,422.2,0.2935,93.7,122
5,немецкий язык,443.49,33.5,52.8,400.6,352.7,424.4,302.9,152.8,0.3835,91.03,123
6,языковой личность,363.68,0,0,0.1,142.2,340.4,365.6,182.4,0.3407,92.81,114
7,русский речь,340.31,448.8,223,268.2,470.4,275.7,226.6,191.8,0.2456,94.41,123
8,тюркский язык,340.27,74.2,1612.7,830,186.7,174,140.6,132.1,0.5512,86.01,122
9,языковой картина,314.63,0,0.3,1.9,94,296,321.6,134,0.3068,93.35,122
10,фразеологический единица,301.7,8.4,69.3,238.1,261.7,267.7,232.4,80.4,0.2897,93.52,123
11,часть речь,288.34,68.2,171.4,268.4,272,269.3,177.4,79,0.196,95.25,123
12,значение слово,286.83,288.4,240,319.4,294.9,257.7,158.5,127.4,0.1528,96.6,123
13,логический анализ,271.97,15.6,24,75.1,173.2,290.8,195.5,70.1,0.2445,94.84,123
14,французский язык,271.5,50.3,42.5,240.1,199.2,252.5,193.3,203.6,0.3362,92.16,123
15,зарубежный лингвистика,262.65,0,2.3,85.9,271.8,284.1,161.8,43.7,0.3138,92.87,123
16,анализ язык,251.96,7.2,12.7,43.7,158.3,272.2,184.7,72.9,0.273,94.22,123
17,семантический поле,242.35,3.6,8,102.4,191.7,248.9,168.6,162.2,0.252,94.5,123
18,иностранный язык,240.15,33.5,41.8,217.1,201.7,213.3,178.1,143.4,0.2865,94.11,123
19,славянский язык,239.17,313.6,220.7,254,275.4,192.7,151.9,121.3,0.2006,95.17,123
20,семантический структура,237.45,4.8,35.5,307.2,273.3,232,117.9,40.4,0.251,94.07,123
21,когнитивный лингвистика,234.03,0,0,0,33.2,187.9,284.4,207.3,0.3935,91.46,111
22,разговорный речь,232.99,333.9,165.2,271.6,259.8,218,111.1,136.4,0.1976,95.54,123
23,настоящий время,231.77,150.8,304.9,250.3,168.6,161.1,188,235.6,0.1159,97.38,123
