lemm1,lemm2,lemm3,lemm4,lemm5,freq
Автореф,дис,канд,филол,наука,53405
автореф,дис,канд,филол,наука,28876
язык,Автореф,дис,канд,филол,20336
Автореф,дисс,канд,филол,наука,14080
литература,диссертационный,ИССЛЕДОВАНИЯкандидат,филологический,наука,12832
список,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,филологический,11026
язык,Дис,канд,филол,наука,8306
текст,автореф,дис,канд,филол,7466
язык,автореф,дис,канд,филол,6474
текст,дис,канд,филол,наука,6084
английский,язык,Автореф,дис,канд,6079
язык,Автореф,дисс,канд,филол,5107
русский,язык,Автореф,дис,канд,5035
дата,обращение,электронный,ресурс,дата,4976
обращение,электронный,ресурс,дата,обращение,4946
электронный,ресурс,дата,обращение,электронный,4930
ресурс,дата,обращение,электронный,ресурс,4907
толковый,словарь,живой,великорусский,язык,4899
электронный,ресурс,режим,доступ,дата,4561
словарь,современный,русский,литературный,язык,4534
ресурс,режим,доступ,дата,обращение,4515
язык,дис,канд,филол,наука,4483
текст,текст,текст,текст,текст,4435
заключение,ДИССЕРТАЦИИпо,тема,русский,язык,4187
Автореф,дис,докт,филол,наука,4099
современный,английский,язык,Автореф,дис,4015
обращение,дата,обращение,дата,обращение,3544
дата,обращение,дата,обращение,дата,3541
электронный,ресурс,режим,доступ,электронный,3456
режим,доступ,электронный,ресурс,режим,3423
доступ,электронный,ресурс,режим,доступ,3419
ресурс,режим,доступ,электронный,ресурс,3401
современный,русский,язык,Автореф,дис,3302
глава,введение,диссертация,часть,автореферат,3281
Изв,ан,ссср,сера,лит,3150
английский,язык,Дис,канд,филол,3002
лексический,семантика,синонимический,средство,язык,2878
текст,Автореф,дис,канд,филол,2878
автореф,дисс,канд,филол,наука,2825
язык,Дисс,канд,филол,наука,2700
логический,анализ,язык,культурный,концепт,2699
тип,языковой,значение,оценка,событие,2633
языковой,значение,оценка,событие,факт,2626
дис,канд,филол,наука,текст,2572
языковой,круг,личность,концепт,дискурс,2489
вывод,введение,диссертация,часть,автореферат,2487
немецкий,язык,Автореф,дис,канд,2392
заключение,ДИССЕРТАЦИИпо,тема,германский,язык,2315
автореферат,дис,канд,филол,наука,2314
лингвистический,энциклопедический,словарь,Гл,ред,2267
глава,заключение,список,использовать,литература,2209
русский,язык,Дис,канд,филол,2195
дис,канд,филол,наука,киев,2171
дис,канд,филол,наука,волгоград,2146
режим,доступ,дата,обращение,электронный,2117
фрагмент,русский,языковой,картина,мир,2095
язык,текст,автореф,дис,канд,2088
доступ,дата,обращение,электронный,ресурс,2072
дата,обращение,электронный,ресурс,режим,2065
обращение,электронный,ресурс,режим,доступ,2059
большой,толковый,словарь,русский,язык,2020
английский,язык,автореф,дис,канд,1976
заключение,ДИССЕРТАЦИИпо,тема,теория,язык,1906
логический,анализ,язык,язык,пространство,1900
современный,немецкий,язык,Автореф,дис,1880
