,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
0,фрагмент русский языковой картина мир,17.94,0.0,0.0,0.0,8.4,20.6,13.1,4.7,0.369,90.72,107.0
1,грамматика современный русский литературный язык,15.66,2.4,8.5,19.6,19.6,15.8,6.1,2.4,0.3103,92.96,116.0
2,коннотативный аспект семантика номинативный единица,14.93,0.0,0.0,0.3,14.1,17.3,9.1,3.3,0.3334,93.16,103.0
3,лексический атлас русский народный говор,12.14,0.0,0.0,0.3,7.2,13.3,9.2,3.3,0.6142,82.58,80.0
4,национальный культурный специфика речевой поведение,10.92,0.0,0.2,4.4,13.5,12.8,4.8,1.4,0.3772,90.61,108.0
5,сравнительно исторический грамматика тюркский язык,10.61,0.0,5.1,8.6,6.0,9.0,8.9,5.6,0.5261,86.24,89.0
6,основной тип лексический значение слово,10.08,0.0,1.8,14.0,10.9,9.9,4.9,1.4,0.2971,93.09,114.0
7,теоретический грамматика современный английский язык,6.44,0.0,0.0,8.3,4.7,5.4,5.1,0.5,0.4685,89.11,92.0
8,развитие лексика современный русский язык,6.34,1.2,0.0,8.5,7.0,5.9,3.7,0.0,0.3281,92.37,106.0
9,словарный состав русский литературный язык,5.57,4.8,4.2,6.5,6.1,5.2,2.9,0.5,0.3215,92.23,115.0
10,закономерность стилистический использование языковый единица,5.39,0.0,0.0,4.8,5.7,5.9,2.5,0.9,0.3203,93.02,105.0
11,стиль современный русский литературный язык,04.04,1.2,0.3,3.0,5.5,4.2,2.0,1.4,0.3982,90.59,103.0
12,национальный социокультурный стереотип речевой общение,3.85,0.0,0.0,0.0,0.9,4.4,3.1,0.5,0.4591,90.24,81.0
13,словарный состав современный английский язык,3.72,0.0,0.2,4.8,3.0,3.3,2.5,0.9,0.4993,88.2,84.0
14,фразеологический единица современный русский язык,3.69,0.0,0.2,3.2,2.9,3.7,2.5,0.0,0.3736,91.17,97.0
15,грамматика современный турецкий литературный язык,3.67,0.0,19.4,7.4,1.8,2.3,1.2,0.5,0.6272,84.46,59.0
16,грамматика современный узбекский литературный язык,3.5,1.2,16.8,7.6,1.6,2.3,1.0,0.0,0.6461,83.97,53.0
17,лексика современный русский литературный язык,3.43,6.0,2.3,5.4,3.5,3.2,1.5,0.5,0.3882,91.32,101.0
18,функциональный стиль современный русский язык,3.38,1.2,0.8,5.2,4.1,3.4,1.3,0.5,0.387,91.06,96.0
19,семантика языковой единица разный уровень,3.33,0.0,0.0,0.5,3.4,3.6,2.2,0.0,0.4533,88.66,85.0
