,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
0,современный русский литературный язык,164.5,158.0,100.5,191.4,188.1,157.8,78.6,28.2
1,русский языковой картина мир,59.01,0.0,0.0,0.0,12.2,57.4,59.3,24.4
2,история русский литературный язык,49.47,33.5,15.7,31.6,59.9,48.5,29.2,8.0
3,синтаксис современный русский язык,28.44,7.2,3.8,23.7,38.7,29.2,13.7,5.6
4,лексико семантический система язык,27.31,0.0,2.3,28.9,25.7,28.0,14.6,7.1
5,исторический грамматика русский язык,26.36,13.2,7.7,23.8,29.8,25.2,15.5,6.1
6,национальный корпус русский язык,25.61,0.0,0.0,0.0,0.0,9.8,43.7,70.1
7,методика преподавание иностранный язык,20.34,1.2,1.6,22.9,16.6,18.2,14.3,14.1
8,лексика современный русский язык,19.24,2.4,1.3,22.4,21.5,19.3,9.8,3.8
9,стилистика современный английский язык,17.04,0.0,0.7,14.2,14.6,17.8,10.1,3.3
10,американский вариант английский язык,18.16,0.0,0.3,9.9,9.9,17.2,15.4,5.2
11,фразеология современный русский язык,17.76,1.2,1.6,14.3,14.6,17.2,12.3,3.8
12,фрагмент языковой картина мир,14.98,0.0,0.0,0.0,6.5,16.2,12.2,6.6
13,атлас русский народный говор,13.03,1.2,1.0,2.0,7.7,14.2,9.6,3.3
14,коммуникативный аспект русский синтаксис,12.45,0.0,0.0,10.1,18.1,12.5,6.4,1.4
15,фразеология современный английский язык,12.44,0.0,0.5,3.8,9.5,11.4,11.0,2.8
16,тип лексический значение слово,11.9,0.0,2.0,17.9,13.2,11.6,5.6,1.4
17,формирование языковой картина мир,11.74,0.0,0.0,0.0,6.4,12.9,9.0,3.8
18,основной тип лексический значение,11.25,0.0,2.0,15.4,12.0,11.2,5.3,1.4
19,исторический грамматика тюркский язык,11.15,0.0,7.7,10.7,6.2,9.3,9.0,5.6
20,культурный специфика речевой поведение,11.18,0.0,0.2,4.8,13.7,13.1,4.9,1.4
21,этнокультурный специфика языковой сознание,10.88,0.0,0.0,0.0,3.4,12.8,8.1,0.5
22,функциональный синтаксис русский язык,10.68,0.0,1.5,11.9,15.5,10.0,5.6,1.4
23,когнитивный аспект языковой категоризации,9.92,0.0,0.0,0.0,2.6,12.0,7.1,0.9
24,лексикология современный русский язык,9.88,1.2,0.7,8.4,7.8,10.4,5.8,2.8
25,система современный русский язык,9.79,2.4,1.6,5.9,7.8,10.1,6.4,3.8
26,грамматика современный английский язык,9.51,0.0,0.0,11.8,6.7,7.9,7.7,0.5
27,язык средство массовый информация,9.34,0.0,0.3,0.5,3.4,5.7,13.0,9.4
28,теоретический грамматика французский язык,9.39,0.0,0.0,10.2,9.6,9.4,5.3,0.5
29,современный татарский литературный язык,9.29,0.0,14.9,6.3,5.9,8.6,6.0,0.5
30,отраслевой лексика дагестанский язык,9.24,0.0,0.0,0.4,2.6,9.2,8.9,0.0
31,сравнительный грамматика тюркский язык,9.18,0.0,34.3,12.5,5.0,7.7,3.4,0.9
32,концепт становление антропоцентрический парадигма,8.77,0.0,0.0,0.0,0.0,8.4,9.4,2.8
33,коммуникативный грамматика русский язык,9.01,0.0,0.0,0.1,5.0,10.3,6.4,2.4
34,теоретический грамматика английский язык,8.99,0.0,0.0,6.9,5.8,7.8,7.9,1.9
35,смысловой восприятие речевой сообщение,8.58,0.0,0.5,6.6,12.6,9.5,3.4,0.5
36,язык народ российский федерация,8.49,0.0,0.2,6.0,2.9,10.2,4.4,6.1
