,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
1,американский вариант английский язык,18.16,0.0,0.3,9.9,9.9,17.2,15.4,5.2,0.5012,87.85,113.0
2,анализ значимый единица язык,3.38,0.0,0.0,5.3,3.5,3.7,1.1,0.0,0.3915,90.37,94.0
3,анализ структура значение слово,7.32,0.0,0.2,7.4,7.2,8.0,3.4,1.4,0.3282,92.92,105.0
4,анализ язык различный строй,06.07,0.0,0.5,4.9,8.4,6.1,3.1,3.3,0.3033,93.01,117.0
5,английский языковой картина мир,5.91,0.0,0.0,0.0,0.1,4.0,8.1,10.3,0.5672,85.07,72.0
6,англо русский языковой контакт,2.28,0.0,0.0,1.2,1.7,2.3,1.7,0.0,0.3755,91.25,91.0
7,аспект языковой картина мир,2.14,0.0,0.0,0.0,0.3,2.1,2.2,0.0,0.4405,89.2,80.0
8,ассоциативный грамматика русский язык,1.8,0.0,0.0,0.0,3.3,1.9,1.0,0.0,0.4763,89.33,72.0
9,атлас русский народный говор,13.03,1.2,1.0,2.0,7.7,14.2,9.6,3.3,0.5946,83.27,90.0
10,британский вариант английский язык,4.9,0.0,0.0,2.0,3.1,4.3,4.6,1.4,0.5701,86.53,68.0
11,вариант современный английский язык,2.28,0.0,0.0,1.6,0.9,2.4,1.7,0.0,0.6604,73.67,52.0
12,видо временный форма глагол,2.65,0.0,0.3,2.4,3.3,2.4,1.6,2.4,0.3896,91.2,95.0
13,видовой противопоставление русский глагол,1.97,0.0,0.2,0.7,2.9,2.0,1.1,1.9,0.3664,91.74,94.0
14,внутренний форма фразеологический единица,2.38,0.0,0.0,0.5,3.3,2.6,1.3,0.0,0.4912,82.52,75.0
15,внутренний форма языковой единица,2.28,0.0,0.2,2.1,2.7,2.6,0.9,0.5,0.41,90.69,87.0
16,газетный публицистический стиль речь,1.92,0.0,0.0,1.6,1.9,1.9,1.2,0.0,0.4613,86.34,79.0
17,грамматика карачаево балкарский язык,02.06,0.0,1.5,2.0,1.2,2.1,1.2,0.0,0.7253,78.87,39.0
18,грамматика русский литературный язык,5.56,3.6,1.1,8.9,7.7,5.2,2.4,0.5,0.3401,91.31,114.0
19,грамматика современный английский язык,9.51,0.0,0.0,11.8,6.7,7.9,7.7,0.5,0.4678,89.38,95.0
20,грамматика современный русский язык,2.65,0.0,1.1,4.5,3.0,2.5,1.2,0.0,0.3722,91.33,97.0
21,грамматический категория имя существительное,1.93,0.0,1.6,1.5,2.6,1.8,1.0,0.5,0.5333,84.86,71.0
22,грамматический семантика английский язык,1.82,0.0,0.0,0.0,1.1,2.0,1.3,0.0,0.5472,85.94,62.0
23,грамматический средство выражение модальность,1.92,0.0,0.8,1.3,3.4,2.1,0.7,0.0,0.5061,86.99,68.0
24,грамматический строй русский язык,7.75,7.2,2.8,6.7,11.0,7.2,4.1,3.8,0.2737,93.99,120.0
25,диалектологический атлас русский язык,2.7,7.2,2.0,2.6,2.5,2.2,1.9,1.4,0.4866,88.03,75.0
26,диалектологический атлас тюркский язык,2.38,0.0,24.7,7.7,0.2,0.4,0.3,0.0,0.7916,72.24,28.0
27,диалогический речь современный английский,02.04,0.0,0.0,2.2,2.7,2.2,0.9,0.0,0.5381,87.03,68.0
28,единица современный русский язык,4.38,0.0,0.2,3.3,3.5,4.3,3.1,0.5,0.37,91.23,100.0
29,интонационный система русский язык,2.13,0.0,0.0,1.8,2.7,2.1,1.2,0.0,0.4422,89.82,79.0
30,исторический грамматика русский язык,26.36,13.2,7.7,23.8,29.8,25.2,15.5,6.1,0.3512,91.62,123.0
31,исторический грамматика тюркский язык,11.15,0.0,7.7,10.7,6.2,9.3,9.0,5.6,0.5179,86.35,89.0
32,исторический лексика дагестанский язык,1.98,0.0,0.7,0.5,1.4,1.9,1.6,0.0,0.7304,80.0,37.0
33,исторический лексикология русский язык,7.11,0.0,2.5,5.6,9.3,7.2,3.5,0.9,0.4005,90.52,115.0
34,исторический морфология русский язык,4.38,0.0,1.3,3.3,4.7,3.8,3.3,0.9,0.4377,89.68,97.0
35,исторический синтаксис русский язык,3.91,0.0,1.1,3.3,4.1,3.9,2.2,1.9,0.438,89.81,99.0
36,история русский литературный язык,49.47,33.5,15.7,31.6,59.9,48.5,29.2,8.0,0.3995,90.64,123.0
