,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
0,современный русский литературный язык,164.5,158.0,100.5,191.4,188.1,157.8,78.6,28.2,0.2765,93.48,123.0
1,русский языковой картина мир,59.01,0.0,0.0,0.0,12.2,57.4,59.3,24.4,0.3773,90.78,113.0
2,история русский литературный язык,49.47,33.5,15.7,31.6,59.9,48.5,29.2,8.0,0.3995,90.64,123.0
3,синтаксис современный русский язык,28.44,7.2,3.8,23.7,38.7,29.2,13.7,5.6,0.3215,92.61,122.0
4,лексико семантический система язык,27.31,0.0,2.3,28.9,25.7,28.0,14.6,7.1,0.2881,93.73,118.0
5,исторический грамматика русский язык,26.36,13.2,7.7,23.8,29.8,25.2,15.5,6.1,0.3512,91.62,123.0
6,национальный корпус русский язык,25.61,0.0,0.0,0.0,0.0,9.8,43.7,70.1,0.495,88.04,80.0
7,методика преподавание иностранный язык,20.34,1.2,1.6,22.9,16.6,18.2,14.3,14.1,0.3076,93.18,117.0
8,лексика современный русский язык,19.24,2.4,1.3,22.4,21.5,19.3,9.8,3.8,0.2989,92.96,121.0
10,американский вариант английский язык,18.16,0.0,0.3,9.9,9.9,17.2,15.4,5.2,0.5012,87.85,113.0
11,фразеология современный русский язык,17.76,1.2,1.6,14.3,14.6,17.2,12.3,3.8,0.3206,93.26,118.0
9,стилистика современный английский язык,17.04,0.0,0.7,14.2,14.6,17.8,10.1,3.3,0.3997,91.75,115.0
12,фрагмент языковой картина мир,14.98,0.0,0.0,0.0,6.5,16.2,12.2,6.6,0.3621,91.83,106.0
13,атлас русский народный говор,13.03,1.2,1.0,2.0,7.7,14.2,9.6,3.3,0.5946,83.27,90.0
14,коммуникативный аспект русский синтаксис,12.45,0.0,0.0,10.1,18.1,12.5,6.4,1.4,0.3253,92.88,109.0
15,фразеология современный английский язык,12.44,0.0,0.5,3.8,9.5,11.4,11.0,2.8,0.3771,91.68,107.0
16,тип лексический значение слово,11.9,0.0,2.0,17.9,13.2,11.6,5.6,1.4,0.3043,92.99,116.0
17,формирование языковой картина мир,11.74,0.0,0.0,0.0,6.4,12.9,9.0,3.8,0.3383,92.89,104.0
18,основной тип лексический значение,11.25,0.0,2.0,15.4,12.0,11.2,5.3,1.4,0.3013,93.11,114.0
20,культурный специфика речевой поведение,11.18,0.0,0.2,4.8,13.7,13.1,4.9,1.4,0.3699,90.66,108.0
19,исторический грамматика тюркский язык,11.15,0.0,7.7,10.7,6.2,9.3,9.0,5.6,0.5179,86.35,89.0
21,этнокультурный специфика языковой сознание,10.88,0.0,0.0,0.0,3.4,12.8,8.1,0.5,0.4245,90.01,95.0
22,функциональный синтаксис русский язык,10.68,0.0,1.5,11.9,15.5,10.0,5.6,1.4,0.2738,93.76,115.0
23,когнитивный аспект языковой категоризации,9.92,0.0,0.0,0.0,2.6,12.0,7.1,0.9,0.4365,89.87,94.0
24,лексикология современный русский язык,9.88,1.2,0.7,8.4,7.8,10.4,5.8,2.8,0.3219,93.15,118.0
25,система современный русский язык,9.79,2.4,1.6,5.9,7.8,10.1,6.4,3.8,0.3338,91.95,119.0
26,грамматика современный английский язык,9.51,0.0,0.0,11.8,6.7,7.9,7.7,0.5,0.4678,89.38,95.0
28,теоретический грамматика французский язык,9.39,0.0,0.0,10.2,9.6,9.4,5.3,0.5,0.3903,90.08,106.0
27,язык средство массовый информация,9.34,0.0,0.3,0.5,3.4,5.7,13.0,9.4,0.4251,88.96,110.0
29,современный татарский литературный язык,9.29,0.0,14.9,6.3,5.9,8.6,6.0,0.5,0.6342,82.08,70.0
30,отраслевой лексика дагестанский язык,9.24,0.0,0.0,0.4,2.6,9.2,8.9,0.0,0.7776,76.48,35.0
31,сравнительный грамматика тюркский язык,9.18,0.0,34.3,12.5,5.0,7.7,3.4,0.9,0.605,84.29,75.0
33,коммуникативный грамматика русский язык,09.01,0.0,0.0,0.1,5.0,10.3,6.4,2.4,0.3511,91.46,107.0
34,теоретический грамматика английский язык,8.99,0.0,0.0,6.9,5.8,7.8,7.9,1.9,0.476,89.21,92.0
32,концепт становление антропоцентрический парадигма,8.77,0.0,0.0,0.0,0.0,8.4,9.4,2.8,0.4491,90.7,84.0
35,смысловой восприятие речевой сообщение,8.58,0.0,0.5,6.6,12.6,9.5,3.4,0.5,0.4243,90.3,99.0
37,лексико семантический группа слово,8.54,0.0,2.0,13.4,9.8,8.3,3.7,1.4,0.3543,91.32,111.0
36,язык народ российский федерация,8.49,0.0,0.2,6.0,2.9,10.2,4.4,6.1,0.7444,78.11,57.0
38,методика преподавание русский язык,8.45,4.8,5.4,12.9,9.1,7.5,4.4,0.5,0.3105,92.42,118.0
40,лексикология современный английский язык,8.45,0.0,0.2,7.7,6.0,7.7,6.6,2.4,0.4322,91.06,99.0
39,номинативный аспект речевой деятельность,8.42,0.0,0.0,0.5,9.1,9.3,5.2,2.8,0.3542,92.13,104.0
41,компонент содержательный структура слово,8.18,0.0,0.5,8.6,8.1,9.1,3.5,0.0,0.3341,92.81,110.0
42,синтаксис современный немецкий язык,8.12,0.0,1.3,11.6,8.9,7.4,4.6,1.4,0.4245,89.44,106.0
43,французский школа анализ дискурс,08.09,0.0,0.0,0.0,0.1,7.5,9.0,2.4,0.4481,89.63,89.0
44,основа теория речевой деятельность,08.01,0.0,0.7,7.0,10.3,8.6,3.5,2.8,0.398,90.86,106.0
46,практика преподавание русский язык,7.79,0.0,1.0,9.0,11.0,7.0,4.3,5.6,0.4041,90.87,112.0
47,грамматический строй русский язык,7.75,7.2,2.8,6.7,11.0,7.2,4.1,3.8,0.2737,93.99,120.0
48,история язык русский поэзия,7.69,0.0,0.0,0.0,6.1,10.2,3.3,0.5,0.5341,86.07,87.0
50,лексика русский литературный язык,7.64,2.4,3.4,7.0,9.2,8.0,3.4,0.0,0.4303,89.76,104.0
49,логико философский анализ язык,7.6,0.0,0.0,0.5,4.5,8.7,5.3,0.9,0.3965,91.37,98.0
51,принцип семиологического описание лексика,7.35,0.0,0.0,0.1,5.4,9.1,4.1,0.9,0.3712,92.41,99.0
52,анализ структура значение слово,7.32,0.0,0.2,7.4,7.2,8.0,3.4,1.4,0.3282,92.92,105.0
53,лингвистический описание разговорный речь,7.3,0.0,0.0,12.6,8.7,7.6,2.5,0.5,0.4196,89.67,97.0
55,лексико семантический группа глагол,7.26,0.0,1.3,8.1,7.1,7.8,3.3,1.9,0.3474,91.8,103.0
54,синтаксис русский разговорный речь,7.22,1.2,1.3,7.3,9.1,7.5,3.2,1.4,0.3088,92.92,117.0
56,синтаксис современный индоевропейский язык,7.15,0.0,0.5,14.1,11.5,6.0,3.1,0.0,0.4085,89.69,97.0
57,исторический лексикология русский язык,7.11,0.0,2.5,5.6,9.3,7.2,3.5,0.9,0.4005,90.52,115.0
58,современный узбекский литературный язык,7.1,1.2,38.6,15.6,8.5,3.7,1.7,0.0,0.6504,82.57,60.0
59,когнитивный анализ предметный имя,6.68,0.0,0.0,0.0,0.0,7.2,6.1,3.3,0.3684,92.1,94.0
61,национальный языковой картина мир,6.55,0.0,0.0,0.0,0.5,6.1,7.0,6.6,0.397,90.69,97.0
63,норма русский литературный язык,6.34,8.4,9.0,7.6,5.9,5.9,2.8,2.4,0.339,91.75,118.0
64,состав русский литературный язык,6.31,4.8,6.0,7.6,6.9,5.8,3.2,0.5,0.3253,92.2,117.0
65,словообразовательный система русский язык,6.29,1.2,0.3,3.4,5.1,6.4,4.4,0.9,0.4524,89.51,104.0
62,словообразование современный русский язык,6.2,3.6,0.2,6.2,7.8,6.4,2.9,0.0,0.409,89.19,101.0
66,принцип типологический анализ язык,6.15,0.0,0.5,5.0,8.3,6.1,3.2,3.3,0.2989,92.99,117.0
68,лексический система русский язык,06.09,0.0,2.6,3.0,5.6,5.9,4.2,2.8,0.4049,90.64,106.0
67,анализ язык различный строй,06.07,0.0,0.5,4.9,8.4,6.1,3.1,3.3,0.3033,93.01,117.0
60,язык логический анализ язык,5.98,0.0,0.0,0.0,4.4,7.3,3.4,0.9,0.3747,91.68,99.0
69,словарный состав русский язык,5.97,8.4,6.4,7.5,5.3,5.2,3.3,2.4,0.3526,91.89,110.0
70,развитие русский литературный язык,5.97,16.8,9.0,6.8,3.4,5.1,3.7,0.0,0.4299,89.49,99.0
71,английский языковой картина мир,5.91,0.0,0.0,0.0,0.1,4.0,8.1,10.3,0.5672,85.07,72.0
72,функциональный тип лексический значение,5.62,0.0,0.0,5.9,7.6,5.8,2.5,0.9,0.3501,92.48,103.0
73,сопоставительный анализ фразеологический единица,5.6,0.0,0.0,0.5,2.1,5.0,6.0,0.9,0.524,85.98,85.0
74,обучение русский язык иностранец,5.59,0.0,0.3,3.1,4.3,6.0,3.6,0.9,0.3576,92.04,105.0
75,грамматика русский литературный язык,5.56,3.6,1.1,8.9,7.7,5.2,2.4,0.5,0.3401,91.31,114.0
77,личностный аспект языковой общение,5.44,0.0,0.0,0.0,7.5,6.1,3.1,0.0,0.472,88.86,81.0
76,основа фразеология русский язык,5.38,0.0,0.3,4.0,4.4,5.5,3.5,1.4,0.3326,92.77,102.0
80,сознание носитель русский язык,5.38,0.0,0.0,0.2,1.6,5.2,5.3,4.2,0.4149,89.07,102.0
79,практический стилистика русский язык,5.32,4.8,0.3,4.4,6.0,5.2,3.3,0.9,0.3304,92.46,112.0
81,разновидность городской устный речь,5.3,0.0,0.0,0.0,8.7,5.9,2.6,1.4,0.4069,89.66,91.0
78,фразеологический единица русский язык,5.26,0.0,0.0,3.6,6.0,5.1,3.5,0.9,0.3998,90.49,105.0
82,построение научно технический терминология,5.21,2.4,0.3,4.4,3.8,4.6,4.2,0.9,0.3315,92.67,101.0
83,направление современный американский лингвистика,5.19,0.0,0.0,0.0,3.6,6.4,2.9,3.8,0.4279,89.51,92.0
84,сочетаемость слово русский язык,5.17,0.0,0.2,3.8,5.1,5.6,2.8,0.0,0.3462,91.56,109.0
85,синтаксис современный английский язык,05.03,0.0,0.0,7.4,7.5,4.9,2.0,0.9,0.4478,88.52,95.0
86,основной тип фразеологический единица,05.02,0.0,1.8,3.4,3.5,4.8,3.7,1.4,0.3263,92.62,106.0
87,функционально смысловой тип речь,4.99,0.0,0.2,5.6,6.6,5.0,2.4,0.0,0.4043,90.72,94.0
88,методика обучение иностранный язык,4.99,0.0,0.2,3.2,4.7,4.9,3.4,1.9,0.3963,90.81,100.0
89,стиль современный русский язык,4.97,1.2,1.1,6.0,5.7,5.2,2.1,0.5,0.3851,91.11,102.0
93,британский вариант английский язык,4.9,0.0,0.0,2.0,3.1,4.3,4.6,1.4,0.5701,86.53,68.0
91,национальный вариант испанский язык,4.89,0.0,0.0,0.5,0.2,3.4,6.8,0.9,0.7704,75.09,43.0
90,различие строение человеческий язык,4.88,0.0,0.0,0.7,4.1,5.1,3.6,0.9,0.3258,93.13,100.0
92,строй современный русский язык,4.81,4.8,0.7,5.2,5.1,5.4,1.8,0.5,0.3768,90.72,105.0
94,лексика современный английский язык,4.74,0.0,0.0,3.1,3.9,5.0,3.0,0.5,0.4671,88.43,88.0
95,структура лексико семантический поле,4.72,0.0,0.0,2.2,2.8,5.0,3.4,0.0,0.4232,90.1,96.0
99,система современный английский язык,4.64,0.0,0.5,5.7,5.7,4.0,3.0,0.9,0.4744,87.86,91.0
96,семантический класс русский глагол,4.62,0.0,0.0,4.0,7.0,5.4,1.2,2.4,0.4634,87.51,91.0
97,фразеология современный немецкий язык,4.5,0.0,1.0,6.6,4.0,3.9,3.0,0.0,0.4261,89.49,94.0
98,современный турецкий литературный язык,4.47,0.0,23.7,10.3,2.1,2.6,1.4,0.5,0.6293,84.58,63.0
100,исторический морфология русский язык,4.38,0.0,1.3,3.3,4.7,3.8,3.3,0.9,0.4377,89.68,97.0
101,единица современный русский язык,4.38,0.0,0.2,3.3,3.5,4.3,3.1,0.5,0.37,91.23,100.0
102,компонент семантический структура высказывание,4.33,0.0,0.3,5.9,5.5,4.6,1.6,0.0,0.3638,91.46,101.0
104,морфология современный английский язык,4.33,0.0,0.2,4.3,5.1,4.2,2.5,0.9,0.4389,90.28,92.0
103,функциональный тип русский речь,4.32,0.0,0.0,4.3,3.8,4.8,2.1,0.5,0.3854,91.29,100.0
105,фразеологический синоним русский язык,4.31,0.0,0.0,0.2,3.7,4.9,2.8,0.0,0.4331,89.83,91.0
106,стилистика современный русский язык,4.29,2.4,0.0,1.2,3.5,4.6,3.0,0.5,0.3222,92.2,102.0
107,фонетика современный русский язык,4.26,0.0,0.5,4.6,5.4,4.4,1.9,1.4,0.3992,89.97,98.0
108,немецкий языковой картина мир,4.22,0.0,0.0,0.0,0.6,3.1,5.6,0.9,0.5931,84.63,70.0
109,современный башкирский литературный язык,4.2,0.0,1.8,2.8,2.8,4.5,2.4,3.3,0.617,82.28,64.0
110,лексический средство обозначение эмоция,04.09,0.0,0.0,0.0,3.7,4.7,2.6,0.5,0.3965,90.86,91.0
111,состав современный английский язык,04.08,0.0,0.2,5.2,3.4,3.7,2.7,0.9,0.4994,87.95,86.0
113,современный таджикский литературный язык,04.03,0.0,0.2,1.6,3.0,1.2,6.6,1.4,0.7134,77.89,41.0
112,логический анализ естественный язык,04.01,0.0,0.0,0.8,5.1,4.5,2.1,0.0,0.4046,90.89,94.0
114,практика преподавание английский язык,3.99,0.0,0.2,4.7,3.5,3.7,2.6,1.4,0.5521,86.52,73.0
115,элементарный единица русский синтаксис,3.98,0.0,0.0,0.2,5.3,4.6,2.0,0.5,0.4166,90.64,96.0
116,понятие языковой картина мир,3.96,0.0,0.0,0.0,0.8,3.3,4.7,1.4,0.4062,90.97,97.0
117,структурный схема простой предложение,3.94,0.0,0.0,3.5,4.8,2.9,3.6,0.0,0.4909,83.61,89.0
