,Unnamed: 0,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP
0,0,абазинский,9.35,2.4,1.0,4.2,7.4,8.9,6.0,33.9,0.6932
1,1,аблатив,11.02,0.0,1.3,3.2,11.9,3.7,16.3,18.8,0.5838
2,2,аблаут,4.55,1.2,1.6,3.4,6.9,4.1,2.8,0.0,0.5297
3,3,абсолютив,11.97,2.4,0.7,2.8,4.9,5.4,18.5,9.9,0.6298
4,4,абсолютивный,6.55,2.4,0.7,2.5,2.8,3.9,8.6,6.1,0.5955
5,5,абсолютус,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815
6,6,абхазский,15.85,2.4,2.5,21.1,37.9,10.7,9.2,2.8,0.6627
7,7,аварский,130.25,8.4,7.7,38.4,177.1,108.9,111.8,6.1,0.6482
8,8,авестийский,1.56,2.4,2.3,0.5,0.9,0.9,1.7,3.3,0.6032
9,9,австралийский,11.53,6.0,1.0,7.8,12.2,7.0,12.9,3.8,0.5725
10,10,австрийский,9.15,1.2,4.4,2.7,14.1,6.2,8.7,3.3,0.4181
11,11,автоматизация,10.28,2.4,8.5,11.4,10.5,9.4,5.7,4.7,0.3359
12,12,автоматизированный,12.87,6.0,4.2,7.3,11.3,13.0,8.0,8.9,0.3859
13,13,автоматический,58.68,6.0,27.0,38.4,42.5,55.1,42.6,32.0,0.3413
14,14,агглютинативность,0.63,0.0,0.2,0.5,0.8,0.6,0.4,0.5,0.6615
15,15,агглютинативный,12.95,0.0,24.0,17.8,9.5,9.8,7.8,14.6,0.4017
16,16,агглютинация,5.74,1.2,6.4,10.9,4.8,4.9,2.7,1.4,0.4343
17,17,агглютинирующий,0.9,0.0,1.8,2.5,0.5,0.7,0.3,1.4,0.6295
18,18,агенс,30.32,0.0,2.9,30.7,17.2,21.6,30.8,17.4,0.3752
19,19,адаптация,59.8,1.2,8.2,15.6,24.6,53.3,56.1,97.3,0.2312
20,20,адвербиализация,4.18,2.4,2.0,3.7,1.5,4.3,2.8,0.0,0.5128
21,21,адвербиальный,27.51,0.0,4.1,21.5,25.7,22.6,23.3,8.9,0.3487
22,22,адресант,58.51,2.4,1.8,5.5,33.4,54.7,54.6,41.4,0.2872
23,23,адресат,256.8,28.7,17.3,56.6,194.1,247.0,212.1,163.2,0.2019
24,24,адъективация,6.11,2.4,2.0,9.2,3.6,6.2,3.1,0.0,0.5257
25,25,адъективный,57.28,0.0,8.8,55.3,52.6,46.5,46.8,26.8,0.2799
26,26,адыгейский,47.31,2.4,3.8,8.7,41.3,49.6,31.8,56.4,0.5515
27,27,адыгский,0.53,0.0,0.0,0.5,1.6,0.3,0.3,1.4,0.7335
28,28,азбука,40.7,53.9,28.1,24.4,25.2,29.4,40.3,20.2,0.2564
29,29,азербайджанский,128.87,16.8,764.0,473.4,65.1,43.6,31.0,35.7,0.6395
30,30,аканье,11.73,28.7,11.9,7.5,6.8,6.8,13.2,1.4,0.5937
31,31,аккомодация,1.6,0.0,0.5,3.8,1.6,1.0,1.1,1.9,0.5317
32,32,аккузатив,32.13,2.4,2.1,5.9,16.9,16.8,44.2,73.3,0.5942
33,33,аккузативный,0.74,0.0,0.0,0.2,0.2,0.8,0.6,1.9,0.7415
34,34,аккультурация,1.58,0.0,0.0,0.7,1.3,1.1,1.8,0.0,0.5804
35,35,аксиологический,6.84,0.0,0.0,0.1,2.8,6.1,7.2,4.2,0.3338
36,36,актант,112.82,0.0,6.9,60.4,90.2,86.8,108.1,172.1,0.3108
37,37,активность,76.32,26.3,27.9,54.7,63.0,63.9,62.7,50.3,0.1517
38,38,актуализатор,9.79,0.0,0.3,11.8,14.0,8.7,5.7,0.0,0.387
39,39,актуализация,140.21,12.0,11.3,72.9,110.5,135.4,105.8,68.2,0.2591
40,40,акустика,2.85,0.0,1.0,2.9,3.0,2.7,1.6,1.4,0.4728
41,41,акустический,44.31,2.4,41.7,53.1,35.7,34.7,32.2,27.7,0.2989
42,42,акцент,223.79,86.2,65.8,118.4,184.7,190.7,189.7,162.2,0.2355
43,43,акцентный,60.7,25.1,10.6,37.3,59.6,49.2,52.7,32.4,0.3905
44,44,акцентология,5.38,1.2,2.9,6.9,6.9,4.5,3.2,1.9,0.4082
45,45,акцентуация,21.85,1.2,10.1,12.2,15.1,19.6,17.5,14.1,0.3808
46,46,акциональный,3.13,0.0,0.0,0.8,1.8,2.5,3.3,3.3,0.3924
47,47,албанский,16.46,1.2,20.3,5.1,4.0,11.3,18.8,6.1,0.5886
48,48,аллегорический,3.45,4.8,5.7,2.6,2.3,2.7,2.4,6.6,0.4634
49,49,аллегория,6.6,9.6,8.0,4.3,8.0,5.1,4.1,18.8,0.3365
50,50,аллитерация,10.79,15.6,23.7,21.0,5.7,5.9,8.2,4.2,0.3958
51,51,алломорф,14.64,0.0,6.0,13.5,5.3,7.2,18.1,38.1,0.4395
52,52,аллофон,19.46,0.0,6.0,6.8,17.0,18.1,15.3,11.8,0.5145
53,53,алогизм,7.57,6.0,2.1,2.1,4.0,6.7,7.1,1.9,0.3243
54,54,алфавит,73.88,223.8,193.4,74.9,60.0,45.1,54.3,44.2,0.2906
55,55,альвеолярный,2.47,0.0,0.7,1.9,1.9,1.5,2.6,4.2,0.6382
56,56,альтернация,4.56,0.0,5.6,4.7,7.0,2.6,3.9,0.9,0.5154
57,57,амбивалентность,6.64,0.0,0.5,0.6,4.3,6.4,5.9,1.9,0.3733
58,58,американский,244.25,57.4,25.3,97.6,117.5,213.4,232.9,168.3,0.3803
59,59,амурский,7.89,1.2,2.3,3.6,1.2,4.2,11.1,8.0,0.5002
60,60,амфиболия,0.39,0.0,0.0,0.0,0.1,0.2,0.5,1.9,0.8215
61,61,анаколуф,0.46,0.0,0.2,0.2,0.3,0.4,0.3,0.5,0.7465
62,62,аналитизм,15.87,0.0,4.7,6.4,10.5,15.3,12.8,0.5,0.3666
