,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
0,абазинский,9.35,2.4,1.0,4.2,7.4,8.9,6.0,33.9,0.6932,75.84,73.0
1,аблатив,11.02,0.0,1.3,3.2,11.9,3.7,16.3,18.8,0.5838,82.26,78.0
2,аблаут,4.55,1.2,1.6,3.4,6.9,4.1,2.8,0.0,0.5297,82.69,75.0
3,абсолютив,11.97,2.4,0.7,2.8,4.9,5.4,18.5,9.9,0.6298,69.33,88.0
4,абсолютивный,6.55,2.4,0.7,2.5,2.8,3.9,8.6,6.1,0.5955,69.06,83.0
5,абсолютус,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9815,0.0,1.0
6,абхазский,15.85,2.4,2.5,21.1,37.9,10.7,9.2,2.8,0.6627,78.57,85.0
7,аварский,130.25,8.4,7.7,38.4,177.1,108.9,111.8,6.1,0.6482,82.8,113.0
8,авестийский,1.56,2.4,2.3,0.5,0.9,0.9,1.7,3.3,0.6032,85.23,56.0
9,австралийский,11.53,6.0,1.0,7.8,12.2,7.0,12.9,3.8,0.5725,80.62,107.0
10,австрийский,9.15,1.2,4.4,2.7,14.1,6.2,8.7,3.3,0.4181,82.96,113.0
11,автоматизация,10.28,2.4,8.5,11.4,10.5,9.4,5.7,4.7,0.3359,91.83,120.0
12,автоматизированный,12.87,6.0,4.2,7.3,11.3,13.0,8.0,8.9,0.3859,88.66,119.0
13,автоматический,58.68,6.0,27.0,38.4,42.5,55.1,42.6,32.0,0.3413,90.9,123.0
14,агглютинативность,0.63,0.0,0.2,0.5,0.8,0.6,0.4,0.5,0.6615,82.65,41.0
15,агглютинативный,12.95,0.0,24.0,17.8,9.5,9.8,7.8,14.6,0.4017,90.24,116.0
16,агглютинация,5.74,1.2,6.4,10.9,4.8,4.9,2.7,1.4,0.4343,89.0,106.0
17,агглютинирующий,0.9,0.0,1.8,2.5,0.5,0.7,0.3,1.4,0.6295,83.02,45.0
18,агенс,30.32,0.0,2.9,30.7,17.2,21.6,30.8,17.4,0.3752,89.73,122.0
19,адаптация,59.8,1.2,8.2,15.6,24.6,53.3,56.1,97.3,0.2312,94.84,123.0
20,адвербиализация,4.18,2.4,2.0,3.7,1.5,4.3,2.8,0.0,0.5128,82.48,85.0
21,адвербиальный,27.51,0.0,4.1,21.5,25.7,22.6,23.3,8.9,0.3487,91.17,123.0
22,адресант,58.51,2.4,1.8,5.5,33.4,54.7,54.6,41.4,0.2872,93.36,121.0
23,адресат,256.8,28.7,17.3,56.6,194.1,247.0,212.1,163.2,0.2019,95.27,123.0
24,адъективация,6.11,2.4,2.0,9.2,3.6,6.2,3.1,0.0,0.5257,84.27,97.0
25,адъективный,57.28,0.0,8.8,55.3,52.6,46.5,46.8,26.8,0.2799,93.14,123.0
26,адыгейский,47.31,2.4,3.8,8.7,41.3,49.6,31.8,56.4,0.5515,83.92,118.0
27,адыгский,0.53,0.0,0.0,0.5,1.6,0.3,0.3,1.4,0.7335,80.52,32.0
28,азбука,40.7,53.9,28.1,24.4,25.2,29.4,40.3,20.2,0.2564,93.58,123.0
29,азербайджанский,128.87,16.8,764.0,473.4,65.1,43.6,31.0,35.7,0.6395,82.29,119.0
30,аканье,11.73,28.7,11.9,7.5,6.8,6.8,13.2,1.4,0.5937,77.17,91.0
31,аккомодация,1.6,0.0,0.5,3.8,1.6,1.0,1.1,1.9,0.5317,82.46,69.0
32,аккузатив,32.13,2.4,2.1,5.9,16.9,16.8,44.2,73.3,0.5942,80.78,105.0
33,аккузативный,0.74,0.0,0.0,0.2,0.2,0.8,0.6,1.9,0.7415,66.64,31.0
34,аккультурация,1.58,0.0,0.0,0.7,1.3,1.1,1.8,0.0,0.5804,84.28,60.0
35,аксиологический,6.84,0.0,0.0,0.1,2.8,6.1,7.2,4.2,0.3338,92.51,107.0
36,актант,112.82,0.0,6.9,60.4,90.2,86.8,108.1,172.1,0.3108,92.23,123.0
37,активность,76.32,26.3,27.9,54.7,63.0,63.9,62.7,50.3,0.1517,96.36,123.0
38,актуализатор,9.79,0.0,0.3,11.8,14.0,8.7,5.7,0.0,0.387,89.25,114.0
39,актуализация,140.21,12.0,11.3,72.9,110.5,135.4,105.8,68.2,0.2591,94.39,123.0
40,акустика,2.85,0.0,1.0,2.9,3.0,2.7,1.6,1.4,0.4728,87.29,86.0
41,акустический,44.31,2.4,41.7,53.1,35.7,34.7,32.2,27.7,0.2989,92.93,123.0
42,акцент,223.79,86.2,65.8,118.4,184.7,190.7,189.7,162.2,0.2355,94.22,123.0
43,акцентный,60.7,25.1,10.6,37.3,59.6,49.2,52.7,32.4,0.3905,89.35,123.0
44,акцентология,5.38,1.2,2.9,6.9,6.9,4.5,3.2,1.9,0.4082,87.57,102.0
45,акцентуация,21.85,1.2,10.1,12.2,15.1,19.6,17.5,14.1,0.3808,89.1,123.0
46,акциональный,3.13,0.0,0.0,0.8,1.8,2.5,3.3,3.3,0.3924,90.2,95.0
47,албанский,16.46,1.2,20.3,5.1,4.0,11.3,18.8,6.1,0.5886,79.9,107.0
48,аллегорический,3.45,4.8,5.7,2.6,2.3,2.7,2.4,6.6,0.4634,88.88,89.0
49,аллегория,6.6,9.6,8.0,4.3,8.0,5.1,4.1,18.8,0.3365,85.84,118.0
50,аллитерация,10.79,15.6,23.7,21.0,5.7,5.9,8.2,4.2,0.3958,84.24,115.0
51,алломорф,14.64,0.0,6.0,13.5,5.3,7.2,18.1,38.1,0.4395,88.52,109.0
52,аллофон,19.46,0.0,6.0,6.8,17.0,18.1,15.3,11.8,0.5145,86.45,111.0
53,алогизм,7.57,6.0,2.1,2.1,4.0,6.7,7.1,1.9,0.3243,87.63,117.0
54,алфавит,73.88,223.8,193.4,74.9,60.0,45.1,54.3,44.2,0.2906,92.93,123.0
55,альвеолярный,2.47,0.0,0.7,1.9,1.9,1.5,2.6,4.2,0.6382,81.43,52.0
56,альтернация,4.56,0.0,5.6,4.7,7.0,2.6,3.9,0.9,0.5154,83.28,94.0
57,амбивалентность,6.64,0.0,0.5,0.6,4.3,6.4,5.9,1.9,0.3733,90.26,109.0
58,американский,244.25,57.4,25.3,97.6,117.5,213.4,232.9,168.3,0.3803,91.75,123.0
59,амурский,7.89,1.2,2.3,3.6,1.2,4.2,11.1,8.0,0.5002,81.56,112.0
60,амфиболия,0.39,0.0,0.0,0.0,0.1,0.2,0.5,1.9,0.8215,74.28,21.0
61,анаколуф,0.46,0.0,0.2,0.2,0.3,0.4,0.3,0.5,0.7465,76.17,31.0
62,аналитизм,15.87,0.0,4.7,6.4,10.5,15.3,12.8,0.5,0.3666,89.0,122.0
63,аналитический,172.0,76.6,93.3,137.7,139.0,142.6,136.9,105.8,0.1802,95.82,123.0
64,анамальность,0.05,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.9495,53.54,5.0
65,анафора,14.92,10.8,6.2,8.1,9.5,11.0,14.3,31.0,0.3722,89.89,121.0
66,анафорический,26.43,12.0,4.2,24.1,23.0,23.1,19.2,27.7,0.3599,89.61,123.0
67,английский,2165.5,256.1,190.5,1450.4,1512.4,1939.4,1797.1,1080.5,0.3784,92.33,123.0
68,англистика,8.99,0.0,0.8,14.3,7.4,7.4,6.3,3.8,0.4281,89.51,106.0
69,англицизм,29.67,0.0,0.0,5.9,23.3,26.3,28.0,8.9,0.424,88.65,118.0
70,англосаксонский,9.56,0.0,0.3,0.6,2.0,6.0,13.6,3.8,0.5747,83.11,95.0
71,англоязычный,174.68,1.2,0.3,14.6,64.7,118.8,226.3,176.8,0.4677,88.71,121.0
72,анимистический,0.56,0.0,0.3,0.4,1.5,0.4,0.3,0.0,0.7015,81.68,36.0
73,антитеза,16.13,9.6,15.4,13.6,15.6,12.3,12.3,16.9,0.2692,93.44,123.0
74,антифразис,1.15,1.2,1.1,0.7,0.2,1.1,0.9,0.0,0.6072,83.41,50.0
75,антиципация,2.33,0.0,0.0,0.5,6.0,2.3,1.0,0.0,0.5011,83.33,79.0
76,античный,60.44,39.5,15.4,31.0,56.5,55.8,45.0,32.9,0.2145,94.21,123.0
77,антология,70.61,2.4,7.8,4.7,24.1,65.8,71.0,15.0,0.3405,92.45,123.0
78,антоним,181.16,56.2,77.3,266.4,121.1,166.8,109.2,28.7,0.2999,92.36,123.0
79,антонимический,39.27,7.2,12.3,58.5,26.3,36.8,23.3,6.1,0.3259,92.3,123.0
80,антонимия,50.44,1.2,6.9,73.4,39.3,47.4,30.1,7.1,0.3202,91.64,123.0
81,антрополог,72.43,6.0,11.4,11.7,41.4,66.7,66.4,54.5,0.2218,95.08,123.0
82,антропонимии,21.34,2.4,17.6,18.1,10.8,21.0,13.0,23.5,0.3893,90.12,119.0
83,антропонимика,25.4,21.5,6.9,9.5,12.5,27.4,17.4,6.6,0.3546,91.81,120.0
84,антропонимикона,4.78,0.0,0.0,0.5,0.6,4.9,4.3,6.1,0.4623,88.64,84.0
85,антропоцентризм,29.26,0.0,0.0,0.4,11.8,27.3,29.4,13.2,0.3058,92.95,111.0
86,аорист,39.67,6.0,18.8,18.3,34.6,18.5,51.5,54.1,0.5393,84.09,111.0
87,апикальный,0.85,0.0,0.8,1.2,0.3,0.7,0.7,0.0,0.6695,81.63,40.0
88,апокопа,2.32,0.0,3.1,1.9,1.0,1.8,1.9,1.9,0.5241,84.85,73.0
89,апофония,0.39,1.2,0.2,0.0,1.0,0.3,0.3,0.0,0.7895,73.92,25.0
90,аппарат,74.58,29.9,41.3,46.6,72.9,61.1,59.7,57.4,0.125,96.94,123.0
91,аппаратура,1.92,2.4,3.3,4.7,2.1,1.5,0.7,0.0,0.4934,85.81,75.0
92,араб,276.1,180.7,467.6,439.6,152.5,200.2,187.5,134.5,0.3421,92.12,123.0
93,арабизм,14.58,3.6,7.4,11.7,12.4,14.6,8.2,12.7,0.602,83.42,89.0
94,арабист,2.96,0.0,7.5,4.1,0.7,2.6,1.6,0.0,0.5771,84.49,69.0
95,арабистика,1.56,0.0,2.1,2.1,0.2,1.6,0.9,0.0,0.6365,81.5,55.0
96,арабский,160.69,74.2,281.3,267.5,70.7,123.9,101.7,55.5,0.4175,89.79,123.0
97,арамейский,3.44,1.2,3.8,1.9,1.1,3.2,2.7,0.0,0.6915,70.24,58.0
98,арго,227.76,256.1,77.3,56.2,188.3,244.8,137.6,184.3,0.3105,92.71,123.0
99,арготизм,10.88,15.6,2.8,1.7,11.6,12.0,5.4,21.6,0.5236,84.48,104.0
