русский,язык,502412
филол,наука,221191
канд,филол,178312
английский,язык,130825
современный,русский,121010
дис,канд,120358
литературный,язык,90010
картина,мир,84908
Автореф,дис,74701
филологический,наука,65967
словарь,русский,65544
вопрос,языкознание,62430
точка,зрение,60586
электронный,ресурс,57634
художественный,текст,53306
ан,ссср,51005
немецкий,язык,49856
русский,литературный,43449
высокий,школа,43195
языковой,личность,42488
язык,текст,41303
современный,английский,40917
автореф,дис,40390
русский,речь,39702
язык,Автореф,37244
дата,обращение,37042
тюркский,язык,37005
гос,уна,36897
толковый,словарь,36892
языковой,картина,36577
язык,русский,36569
лексико,семантический,36423
фразеологический,единица,35219
Отв,ред,33886
часть,речь,33742
режим,доступ,33392
русский,культура,33138
значение,слово,32754
зарубежный,лингвистика,30715
французский,язык,30580
науч,тр,29898
художественный,литература,29556
Дис,канд,29547
энциклопедический,словарь,29509
семантический,поле,28209
иностранный,язык,27804
семантический,структура,27697
когнитивный,лингвистика,27375
учебный,пособие,27250
разговорный,речь,27235
настоящий,время,27070
лексический,единица,26672
дисс,канд,26000
средство,выражение,25990
речевой,акт,25761
учеба,пособие,25433
языковой,единица,25230
научный,конференция,24622
русский,словарь,24418
языковой,сознание,24365
актуальный,проблема,23771
структурно,семантический,23454
избранный,труд,22889
сб,науч,22353
речевой,деятельность,22343
лексический,значение,22330
анализ,язык,22247
диссертационный,исследование,21954
Автореф,дисс,21912
система,язык,21903
лингвистический,исследование,21258
языковой,средство,21063
государственный,университет,21050
история,русский,20772
русый,яз,20492
Сб,науч,19824
имя,существительное,19762
лингвистика,Вып,19684
язык,язык,19637
текст,текст,19618
исследование,являться,19575
лингвистика,текст,19429
имя,собственный,19154
межкультурный,коммуникация,18932
отв,ред,18887
результат,исследование,18613
татарский,язык,18539
пед,ин,18453
функционально,семантический,18253
современный,немецкий,18168
научный,труд,17784
логический,анализ,17515
материал,русский,17514
гос,пед,17318
грамматический,категория,17271
сложный,предложение,17210
ресурс,режим,17081
список,литература,16953
русский,грамматика,16815
национальный,культурный,16665
научно,практический,16519
простой,предложение,16012
политический,дискурс,15965
сопоставительный,анализ,15864
художественный,произведение,15832
данный,работа,15814
общий,языкознание,15519
диссертация,часть,15241
часть,автореферат,15240
сборник,научный,15230
научный,новизна,15160
практический,конференция,15130
литература,диссертационный,15111
языковой,система,15062
научно,технический,15038
речевой,жанр,15003
носитель,язык,14988
этимологический,словарь,14942
метод,исследование,14897
семантический,группа,14834
объект,исследование,14778
общий,ред,14498
язык,славянский,14463
международный,конференция,14432
современный,лингвистика,14341
советский,энциклопедия,14180
материал,исследование,14144
славянский,культура,14101
славянский,язык,14068
ресурс,дата,14033
речевой,поведение,13972
основной,положение,13645
язык,вопрос,13498
диссертационный,ИССЛЕДОВАНИЯкандидат,13477
докт,филол,13463
данный,исследование,13428
вопрос,теория,13193
речевой,общение,13104
семантический,анализ,12946
академия,наука,12941
ДИССЕРТАЦИИкандидат,филологический,12932
культура,речь,12865
лексико,грамматический,12840
теоретический,значимость,12835
ИССЛЕДОВАНИЯкандидат,филологический,12816
русский,языковой,12734
ДИССЕРТАЦИИпо,тема,12632
собрание,сочинение,12492
теория,речевой,12440
сравнительно,исторический,12439
коммуникативный,прагматический,12435
лингвистический,анализ,12324
Высш,шк,12226
грамматика,русский,12208
структура,слово,12165
фразеологический,словарь,12150
человеческий,фактор,12137
новый,слово,12102
первый,очередь,12001
лингвистический,энциклопедический,11974
воронеж,Изд,11966
текст,автореф,11854
структура,текст,11845
материал,английский,11828
поэтический,текст,11801
предмет,исследование,11799
лингвистический,термин,11776
прагматический,аспект,11767
функциональный,грамматика,11685
международный,научный,11667
изд,испр,11633
личный,имя,11586
заключение,ДИССЕРТАЦИИпо,11534
ключевой,слово,11444
начало,век,11386
Дисс,канд,11339
русский,глагол,11318
способ,выражение,11311
теория,язык,11284
русский,народный,11273
сей,пора,11245
русский,литература,11239
русский,фразеология,11226
анализ,текст,11200
флинт,наука,11169
член,предложение,11155
сложный,слово,11137
глава,заключение,11127
словарь,современный,11070
Сб,статья,10978
Моск,уна,10960
лексический,семантика,10930
множественный,число,10922
англо,русский,10901
единица,язык,10891
спб,Изд,10887
настоящий,исследование,10858
данный,случай,10836
речевой,воздействие,10816
язык,Дис,10809
сложноподчиненный,предложение,10735
структура,предложение,10680
мир,человек,10642
сборник,статья,10540
исследование,послужить,10528
германский,язык,10479
большой,количество,10477
внутренний,форма,10461
когнитивный,аспект,10444
волгоград,перемена,10425
оглавление,ДИССЕРТАЦИИкандидат,10407
язык,художественный,10366
санкт,петербург,10346
язык,культура,10321
иметь,место,10298
тематический,группа,10260
Лексико,семантический,10243
тезис,доклад,10240
практический,значимость,10224
изучение,язык,10213
проводить,исследование,10175
родной,язык,10174
второй,половина,10171
различный,тип,10117
алма,ата,10106
Межвуз,сб,10045
конец,век,10041
рекламный,текст,10035
язык,являться,10012
давать,возможность,9906
Гл,ред,9691
порядок,слово,9674
речь,идти,9602
общий,теория,9507
материал,международный,9493
ученый,записка,9490
дагестанский,язык,9472
избранный,работа,9465
исследование,заключаться,9389
история,язык,9363
словарь,справочник,9349
форма,глагол,9347
язык,автореф,9330
функциональный,стиль,9329
словарный,состав,9276
аварский,язык,9213
семантический,особенность,9194
общий,лингвистика,9183
русский,слово,9181
введение,диссертация,9158
следующий,задача,9118
науч,конф,9104
синтаксический,конструкция,9070
языковой,игра,9061
словарный,статья,9029
настоящий,работа,8999
устный,речь,8982
лексический,система,8915
теория,перевод,8910
научный,текст,8889
саратов,Изд,8865
башкирский,язык,8820
семантика,слово,8757
компонентный,анализ,8717
список,использовать,8714
диссертационный,работа,8701
работа,состоять,8669
словарь,лингвистический,8663
целый,ряд,8622
языковой,материал,8608
теоретический,основа,8596
гуманитарный,наука,8573
структура,язык,8570
древнерусский,язык,8551
семантический,исследование,8521
разный,тип,8480
семантический,категория,8473
прошедший,время,8455
диссертация,состоять,8451
текст,дис,8416
синтаксический,структура,8407
следовать,отмечать,8345
художественный,проза,8320
китайский,язык,8307
глагольный,форма,8260
образ,мир,8248
производный,слово,8221
работа,посвящать,8183
дис,докт,8164
поставлять,цель,8162
культурный,специфика,8161
языковой,значение,8142
синтаксис,русский,8123
русский,говор,8073
язык,народ,8061
половина,век,8058
испанский,язык,8023
работа,заключаться,7986
русский,разговорный,7974
Сб,ст,7963
художественный,речь,7950
пед,уна,7949
позволять,выявлять,7946
аспект,изучение,7932
обращать,внимание,7891
общественно,политический,7880
доступ,дата,7863
находить,отражение,7847
тип,языковой,7847
культурный,концепт,7841
средство,язык,7835
друг,друг,7825
народный,говор,7782
известие,ан,7762
институт,языкознание,7741
обращение,электронный,7732
языковый,единица,7685
грамматический,значение,7672
язык,проблема,7670
средство,массовый,7660
собственный,имя,7652
международный,научно,7611
особенность,функционирование,7602
преподавание,русский,7576
национальный,язык,7556
филолог,наука,7549
исследование,состоять,7534
языковой,явление,7519
описание,язык,7513
теория,метафора,7495
лексика,русский,7493
проблема,русский,7479
монгольский,язык,7468
лингвистический,теория,7461
значимость,работа,7456
разный,уровень,7413
апробация,работа,7363
развитие,язык,7355
науч,труд,7303
последний,год,7291
лезгинский,язык,7248
исторический,грамматика,7234
даргинский,язык,7234
синтаксис,современный,7232
русский,синтаксис,7166
следующий,положение,7166
Едиториал,УРСС,7131
разный,язык,7103
массовый,коммуникация,7099
цель,исследование,7086
школа,язык,7084
кн,изд,7080
массовый,информация,7074
финно,угорский,7071
бодуэн,де,7062
грамматический,форма,7044
коммуникативный,аспект,7038
проблема,изучение,7036
Изв,ан,7016
современный,состояние,6995
система,русский,6982
экспериментальный,исследование,6950
лингвистический,семантика,6939
русский,английский,6938
материал,современный,6898
лингвистический,аспект,6887
семантический,система,6886
жанр,речь,6847
естественный,язык,6827
речевой,коммуникация,6786
сделать,вывод,6744
главный,образ,6735
задача,исследование,6725
наука,спб,6715
объект,лингвистический,6703
