язык,Автореф,дис,канд,21769
современный,русский,литературный,язык,19211
толковый,словарь,русский,язык,13498
литература,диссертационный,ИССЛЕДОВАНИЯкандидат,филологический,12832
диссертационный,ИССЛЕДОВАНИЯкандидат,филологический,наука,12832
оглавление,ДИССЕРТАЦИИкандидат,филологический,наука,9971
язык,Дис,канд,филол,8375
текст,автореф,дис,канд,8082
русский,языковой,картина,мир,6854
английский,язык,Автореф,дис,6853
школа,язык,русский,культура,6775
язык,автореф,дис,канд,6769
этимологический,словарь,русский,язык,6218
русский,язык,Автореф,дис,6159
текст,дис,канд,филол,6126
история,русский,литературный,язык,5770
язык,Автореф,дисс,канд,5627
современный,английский,язык,Автореф,5602
логический,анализ,язык,язык,5486
текст,текст,текст,текст,5334
словарь,живой,великорусский,язык,5063
толковый,словарь,живой,великорусский,4948
современный,русский,язык,Автореф,4918
ДИССЕРТАЦИИпо,тема,русский,язык,4587
словарь,современный,русский,литературный,4555
язык,дис,канд,филол,4513
заключение,ДИССЕРТАЦИИпо,тема,русский,4188
энциклопедический,словарь,Гл,ред,4045
словарь,синоним,русский,язык,3993
русский,язык,грамматический,учение,3950
краткий,словарь,когнитивный,термин,3915
канд,филол,наука,текст,3706
современный,русский,язык,текст,3696
фразеологический,словарь,русский,язык,3528
синтаксис,современный,русский,язык,3336
словарь,современный,русский,язык,3197
английский,язык,Дис,канд,3189
лексико,семантический,система,язык,3186
текст,Автореф,дис,канд,3087
исторический,грамматика,русский,язык,3082
константа,словарь,русский,культура,3070
национальный,корпус,русский,язык,2969
лексический,семантика,синонимический,средство,2923
семантика,синонимический,средство,язык,2887
актуальный,проблема,русский,словообразование,2885
русский,язык,русский,язык,2878
немецкий,язык,Автореф,дис,2795
язык,Дисс,канд,филол,2770
логический,анализ,язык,культурный,2721
методологический,проблема,когнитивный,лингвистика,2717
анализ,язык,культурный,концепт,2709
тип,языковой,значение,оценка,2651
языковой,значение,оценка,событие,2639
проблема,семантический,анализ,лексика,2608
современный,немецкий,язык,Автореф,2603
современный,английский,язык,текст,2570
ДИССЕРТАЦИИпо,тема,германский,язык,2560
круг,личность,концепт,дискурс,2548
языкознание,большой,энциклопедический,словарь,2521
языковой,круг,личность,концепт,2492
язык,текст,автореф,дис,2444
методика,преподавание,иностранный,язык,2375
русский,язык,Дис,канд,2357
русский,язык,автореф,дис,2350
лингвистический,энциклопедический,словарь,Гл,2317
языковой,номинация,общий,вопрос,2280
большой,толковый,словарь,русский,2279
русский,фразеология,семантический,прагматический,2236
языковой,номинация,вид,наименование,2218
лексика,современный,русский,язык,2215
фрагмент,русский,языковой,картина,2214
английский,язык,автореф,дис,2211
стилистика,современный,английский,язык,2206
Вып,теория,речевой,акт,2196
лингвистический,анализ,художественный,текст,2109
американский,вариант,английский,язык,2096
фразеология,современный,русский,язык,2074
ДИССЕРТАЦИИпо,тема,теория,язык,2063
языковой,личность,культурный,концепт,2045
современный,английский,язык,Дис,2038
материал,современный,английский,язык,2027
русский,язык,конец,столетие,2026
словарь,русский,народный,говор,1947
словарь,русский,язык,текст,1938
ОГЛАВЛЕНИЕ,ДИССЕРТАЦИИкандидат,филологический,наука,1909
анализ,язык,язык,пространство,1904
современный,русский,язык,синтаксис,1864
русский,язык,Автореф,дисс,1856
грамматика,современный,русский,литературный,1838
русский,язык,исторический,судьба,1797
аспект,семантика,номинативный,единица,1797
зарубежный,лингвистика,Вып,лингвистический,1786
современный,русский,язык,лексика,1775
коннотативный,аспект,семантика,номинативный,1758
ван,язык,познание,коммуникация,1754
фрагмент,языковой,картина,мир,1748
английский,язык,Автореф,дисс,1720
национальный,культурный,специфика,речевой,1713
словарь,справочник,лингвистический,термин,1698
русский,язык,учеба,пособие,1696
словарь,русский,язык,вв,1675
язык,языковой,механизм,экспрессивность,1653
язык,текст,дис,канд,1639
русский,язык,вопрос,языкознание,1606
новый,объяснительный,словарь,синоним,1593
текст,Дис,канд,филол,1592
большой,англо,русский,словарь,1580
современный,русский,язык,словообразование,1576
лингвистика,Вып,теория,речевой,1569
тема,сравнительно,исторический,типологический,1569
проблема,научно,технический,терминология,1548
институт,языкознание,ан,ссср,1546
стилистика,теория,поэтический,речь,1544
английский,язык,дис,канд,1544
русский,язык,ан,ссср,1527
атлас,русский,народный,говор,1517
энциклопедический,словарь,русский,язык,1515
англо,русский,фразеологический,словарь,1514
теория,поэтический,речь,поэтика,1503
степень,кандидат,филологический,наука,1498
стилистический,энциклопедический,словарь,русский,1480
словообразовательный,словарь,русский,язык,1478
литературный,язык,Автореф,дис,1467
Вып,когнитивный,аспект,язык,1466
словарь,русский,культура,опыт,1463
русский,язык,учебный,пособие,1459
лексико,фразеологический,семантика,язык,1459
коммуникативный,аспект,русский,синтаксис,1455
фразеология,современный,английский,язык,1453
ученый,степень,кандидат,филологический,1452
русский,культура,опыт,исследование,1446
лингвистический,проблема,научно,технический,1434
вестник,мгу,сера,филология,1429
объяснительный,словарь,синоним,русский,1427
современный,русский,язык,Дис,1423
лексический,атлас,русский,народный,1421
литература,диссертационный,ИССЛЕДОВАНИЯдоктор,филологический,1410
диссертационный,ИССЛЕДОВАНИЯдоктор,филологический,наука,1410
тип,лексический,значение,слово,1393
тип,языковой,значение,семантика,1377
формирование,языковой,картина,мир,1371
доктор,филологический,наука,профессор,1370
язык,Сб,науч,тр,1352
лингвистика,Вып,лингвистический,прагматика,1349
значение,семантика,производный,слово,1344
языковой,значение,семантика,производный,1343
большой,энциклопедический,словарь,Гл,1338
энциклопедический,словарь,гл,ред,1334
словарь,русский,литературный,язык,1329
русский,язык,дис,канд,1319
данные,язык,попытка,системный,1316
основной,тип,лексический,значение,1316
избранный,работа,семиотика,поэтика,1302
исторический,грамматика,тюркский,язык,1300
культурный,специфика,речевой,поведение,1299
речь,Автореф,дис,канд,1286
картина,мир,роль,человеческий,1283
язык,попытка,системный,описание,1280
высокий,школа,филологический,наука,1276
этнокультурный,специфика,языковой,сознание,1274
языковой,картина,мир,роль,1266
сравнительно,исторический,грамматика,тюркский,1248
функциональный,синтаксис,русский,язык,1242
аспект,Автореф,дис,канд,1240
язык,Автореф,дис,докт,1240
словарь,русский,язык,век,1221
логический,анализ,язык,ментальный,1217
анализ,язык,ментальный,действие,1217
проблема,когнитивный,лингвистика,воронеж,1212
этимологический,словарь,тюркский,язык,1207
мир,модель,пространство,время,1204
языковой,картина,мир,модель,1200
картина,мир,модель,пространство,1198
языковой,картина,мир,текст,1186
очерк,функциональный,синтаксис,русский,1181
историко,этимологический,словарь,современный,1177
материал,современный,немецкий,язык,1175
доклад,высокий,школа,филологический,1172
филологический,наука,вопрос,теория,1162
когнитивный,аспект,языковой,категоризации,1161
основа,лингвистический,теория,значение,1159
лексикология,современный,русский,язык,1157
институт,лингвистический,исследование,ран,1149
язык,коммуникация,модальность,дейксис,1146
русский,литературный,язык,Автореф,1143
современный,русский,язык,учеба,1138
этимологический,словарь,современный,русский,1131
языковой,личность,концепт,становление,1131
современный,русский,язык,автореф,1124
машинный,фонд,русский,язык,1123
оглавление,ДИССЕРТАЦИИдоктор,филологический,наука,1122
русский,литературный,язык,век,1120
Лингвокультурология,языковой,личность,концепт,1117
русский,язык,конец,век,1116
ЛЭС,лингвистический,энциклопедический,словарь,1115
грамматика,современный,английский,язык,1104
система,современный,русский,язык,1103
смысл,Логико,семантический,проблема,1102
теоретический,грамматика,французский,язык,1098
семантика,языковой,единица,доклад,1098
язык,средство,массовый,информация,1097
современный,русский,язык,русский,1096
немецкий,язык,Дис,канд,1092
французский,язык,Автореф,дис,1091
язык,речь,речевой,деятельность,1090
лингвистика,Вып,когнитивный,аспект,1089
диссертация,кандидат,филологический,наука,1088
язык,система,язык,текст,1087
современный,татарский,литературный,язык,1084
конгресс,исследователь,русский,язык,1083
ДИССЕРТАЦИИпо,тема,язык,народ,1083
создание,языковой,картина,мир,1082
русский,литературный,язык,вв,1080
зарубежный,лингвистика,Вып,когнитивный,1080
русский,литературный,язык,текст,1075
отраслевой,лексика,дагестанский,язык,1075
система,язык,текст,язык,1072
личность,концепт,становление,антропоцентрический,1071
язык,текст,язык,способность,1071
логический,анализ,язык,образ,1070
анализ,язык,образ,человек,1070
текст,Сб,науч,тр,1069
общий,языкознание,внутренний,структура,1068
сравнительный,грамматика,тюркский,язык,1066
концепт,становление,антропоцентрический,парадигма,1064
коммуникативный,грамматика,русский,язык,1052
теоретический,грамматика,английский,язык,1051
большой,энциклопедический,словарь,языкознание,1049
языкознание,внутренний,структура,язык,1045
современный,английский,язык,автореф,1045
развитие,современный,русский,язык,1044
языковой,значение,связанный,значение,1043
тип,языковой,значение,связанный,1039
современный,русский,язык,ростов,1027
русский,язык,филологический,наука,1027
английский,язык,текст,автореф,1023
значение,связанный,значение,слово,1023
материал,современный,русский,язык,1021
семантический,исследование,семантика,время,1014
язык,список,литература,диссертационный,1013
проблема,русский,словообразование,ташкент,1007
смысловой,восприятие,речевой,сообщение,1004
институт,русский,язык,ан,997
теория,функциональный,грамматика,Темпоральность,997
язык,народ,российский,федерация,993
слушать,вариант,речевой,поведение,991
лексико,семантический,группа,слово,990
фразеологический,словарь,русский,литературный,989
функциональный,грамматика,Темпоральность,модальность,989
методика,преподавание,русский,язык,988
лексикология,современный,английский,язык,986
номинативный,аспект,речевой,деятельность,985
толковый,словарь,современный,русский,983
материал,английский,язык,Автореф,981
точка,зрение,роль,язык,976
личность,культурный,концепт,волгоград,976
когнитивный,точка,зрение,роль,974
заключение,ДИССЕРТАЦИИпо,тема,язык,969
русский,язык,семантика,нарратива,968
современный,русский,язык,вопрос,958
язык,русский,поэзия,век,957
компонент,содержательный,структура,слово,957
московский,университет,сера,филология,956
синтаксис,современный,немецкий,язык,949
французский,школа,анализ,дискурс,942
аспект,автореф,дис,канд,939
словарь,русский,язык,слово,938
русский,лексика,словарный,материал,937
основа,теория,речевой,деятельность,937
русский,язык,электронный,ресурс,934
язык,язык,речевой,действие,934
анализ,язык,язык,речевой,933
заседание,кафедра,русский,язык,928
логический,анализ,язык,модель,928
английский,язык,Дисс,канд,926
язык,память,образ,лингвистика,926
анализ,язык,модель,действие,924
международный,конгресс,исследователь,русский,918
анализ,язык,язык,этика,914
практика,преподавание,русский,язык,912
память,образ,лингвистика,языковой,909
грамматический,строй,русский,язык,908
функционирование,коммуникативный,прагматический,аспект,908
квадратура,смысл,французский,школа,903
образ,лингвистика,языковой,существование,903
история,язык,русский,поэзия,900
язык,автореферат,дис,канд,894
современный,немецкий,язык,текст,893
логико,философский,анализ,язык,889
лексика,русский,литературный,язык,888
смысл,французский,школа,анализ,888
словарь,антоним,русский,язык,886
этимологический,словарь,славянский,язык,885
спб,филологический,факультет,СПбГУ,885
теория,функциональный,грамматика,введение,885
языковой,единица,разный,уровень,879
лингвистика,психология,когнитивный,наука,879
русский,язык,Дисс,канд,874
тема,язык,народ,российский,872
очерк,история,язык,русский,871
современный,французский,язык,Автореф,871
лексический,значение,принцип,семиологического,865
лингвистический,энциклопедический,словарь,гл,860
принцип,семиологического,описание,лексика,860
словарь,русский,язык,конец,859
курс,фразеология,современный,английский,857
язык,язык,народ,ссср,856
анализ,структура,значение,слово,856
русский,народный,говор,материал,854
лингвистический,описание,разговорный,речь,854
лингвистика,Вып,лингвистика,текст,850
синтаксис,русский,разговорный,речь,846
теоретический,проблема,синтаксис,современный,843
практика,лингвистический,описание,разговорный,842
современный,немецкий,язык,Дис,841
лексико,семантический,группа,глагол,839
когнитивизма,лингвистика,психология,когнитивный,838
вопрос,синтаксис,современный,русский,836
аспект,дис,канд,филол,836
синтаксис,современный,индоевропейский,язык,836
исторический,лексикология,русский,язык,832
современный,узбекский,литературный,язык,827
проблема,синтаксис,современный,индоевропейский,826
речь,сборник,научный,статья,824
современный,русский,язык,лексикология,822
текст,Автореф,дисс,канд,819
степень,доктор,филологический,наука,813
общий,языкознание,форма,существование,813
текст,автореф,дисс,канд,813
языкознание,форма,существование,функция,812
когнитивный,семантика,курс,лекция,809
словарь,лингвистический,термин,текст,807
существование,функция,история,язык,806
вестник,мгу,серия,филология,801
мыслящий,мир,человек,текст,795
ученый,степень,доктор,филологический,793
язык,Автореф,канд,дисс,791
английский,язык,стилистика,декодирование,790
жанр,речь,саратов,Изд,786
современный,английский,язык,стилистика,783
когнитивный,анализ,предметный,имя,782
немецкий,язык,автореф,дис,782
международный,научный,конференция,язык,780
русский,язык,энциклопедия,Гл,774
английский,язык,текст,дис,774
немецкий,язык,Автореф,дисс,771
стратегия,понимание,связный,текст,769
язык,энциклопедия,Гл,ред,764
экспрессивный,лексика,разговорный,употребление,764
текст,дисс,канд,филол,764
культурный,концепт,волгоград,архангельск,761
язык,логический,анализ,язык,758
развитие,лексика,современный,русский,758
Семантико,синтаксический,организация,предложение,758
вопрос,синтаксис,русский,язык,757
язык,сб,науч,тр,757
язык,Межвуз,сб,науч,755
теоретический,грамматика,современный,английский,754
национальный,языковой,картина,мир,753
английский,язык,учеба,пособие,753
жанр,речь,сборник,научный,752
славянский,языкознание,международный,съезд,751
языкознание,международный,съезд,славист,749
развитие,словарный,состав,русский,748
московский,университет,серия,филология,748
современный,русский,язык,учебный,745
словообразование,современный,русский,язык,743
речевой,жанр,жанр,речь,741
норма,русский,литературный,язык,739
аспект,Дис,канд,филол,738
состав,русский,литературный,язык,737
русский,литературный,язык,конец,737
вопрос,теория,речевой,воздействие,735
русский,язык,текст,автореф,734
словообразовательный,система,русский,язык,731
жанр,речь,саратов,колледж,724
языковой,единица,доклад,международный,721
толковый,словарь,иноязычный,слово,720
принцип,типологический,анализ,язык,717
краткий,этимологический,словарь,русский,715
трехмерный,пространство,язык,семиотический,715
значение,слово,вопрос,языкознание,715
новый,большой,англо,русский,713
пространство,язык,семиотический,проблема,713
разный,уровень,грамматический,строй,713
анализ,язык,различный,строй,710
лексический,система,русский,язык,709
воронеж,воронежский,государственный,университет,709
лингвокультурные,концепт,прецедентный,текст,708
семиотический,проблема,лингвистика,философия,708
основа,общий,теория,перевод,706
символ,лингвокультурные,концепт,прецедентный,706
типологический,анализ,язык,различный,705
язык,семиотический,проблема,лингвистика,703
логический,анализ,язык,проблема,702
язык,урало,алтайский,исследование,702
альтернативный,мир,дискурс,факт,702
единица,разный,уровень,грамматический,702
функциональный,стиль,современный,русский,701
язык,Автореф,канд,филол,701
вопрос,семантика,фразеологический,единица,698
словарный,состав,русский,язык,696
развитие,русский,литературный,язык,695
проблема,когнитивный,лингвистика,научный,695
вопрос,теория,часть,речь,690
анализ,предметный,имя,семантика,689
индивидуально,авторский,картина,мир,689
новый,словарь,русский,язык,689
личность,концепт,дискурс,волгоград,688
когнитивный,лингвистика,научный,издание,688
английский,языковой,картина,мир,683
современный,словарь,иностранный,слово,683
изучение,современный,русский,язык,682
жанр,речь,сб,науч,682
речевой,практика,масса,медиа,681
тендер,язык,культура,коммуникация,681
проблема,языковой,картина,мир,680
труд,институт,лингвистический,исследование,679
личность,культурный,концепт,Сб,679
Шахматов,синтаксис,русский,язык,672
изучение,иберийский,кавказский,язык,671
язык,дисс,канд,филол,668
язык,сборник,научный,труд,667
общий,терминология,вопрос,теория,659
системный,описание,вопрос,языкознание,659
функциональный,тип,лексический,значение,657
русский,язык,ученый,записка,656
сопоставительный,анализ,фразеологический,единица,655
институт,русский,язык,ран,655
русский,терминология,опыт,лингвистический,655
проблема,функциональный,тип,лексический,655
исследование,языковой,картина,мир,654
обучение,русский,язык,иностранец,654
академический,словарь,русский,язык,653
словарный,состав,русский,литературный,652
анализ,язык,проблема,интенсиональный,652
современный,толковый,словарь,русский,651
грамматика,русский,литературный,язык,650
вопрос,романо,германский,филология,650
уровень,грамматический,строй,язык,650
современный,английский,язык,дис,648
объект,лингвистический,исследование,текст,644
язык,автореф,дисс,канд,644
словарь,тюркский,язык,общетюркский,643
логический,анализ,язык,противоречивость,641
дискурс,дис,канд,филол,639
функциональный,грамматика,введение,Аспектуальность,639
аспект,изучение,современный,русский,638
словарь,ассоциативный,норма,русский,637
ассоциативный,норма,русский,язык,635
стилистический,использование,языковый,единица,635
референциальный,аспект,семантика,местоимение,633
опыт,общий,теория,лексикография,631
закономерность,стилистический,использование,языковый,631
действительность,референциальный,аспект,семантика,630
основа,фразеология,русский,язык,630
личностный,аспект,языковой,общение,630
современный,проблема,русский,терминология,629
дискурс,автореф,дис,канд,629
терминология,опыт,лингвистический,описание,627
фразеологический,единица,русский,язык,624
частный,лингвистический,теория,текст,624
практический,стилистика,русский,язык,622
сознание,носитель,русский,язык,621
современный,русский,язык,учебник,621
разновидность,городской,устный,речь,620
социолингвистический,аспект,изучение,современный,620
интерпретировать,подход,вопрос,языкознание,619
материал,английский,язык,текст,617
троякий,аспект,языковой,явление,616
номинация,языковой,номинация,общий,615
частотный,словарь,русский,язык,612
лингвистический,энциклопедический,словарь,текст,610
построение,научно,технический,терминология,609
словарь,русский,ономастический,терминология,608
лингвистика,текст,текст,структура,608
русский,литературный,язык,первый,607
направление,современный,американский,лингвистика,607
язык,языковой,личность,культурный,607
сочетаемость,слово,русский,язык,606
словарь,древнерусский,язык,вв,603
культурный,концепт,Сб,науч,603
грамматика,введение,Аспектуальность,временный,602
язык,проблема,структурный,лингвистика,601
фундаментальный,направление,современный,американский,599
полный,собрание,русский,летопись,597
словарь,русский,язык,толково,597
текст,автореф,дис,докт,595
русский,славянский,языкознание,воронеж,592
жанр,жанр,речь,саратов,590
арутюнов,логический,анализ,язык,590
метафорический,зеркало,когнитивный,исследование,588
синтаксис,современный,английский,язык,588
основной,тип,фразеологический,единица,587
когнитивный,исследование,политический,метафора,587
речь,Дис,канд,филол,587
русский,английский,фразеологический,словарь,585
русский,разговорный,речь,общий,584
извлекать,метод,сплошной,выборка,584
функционально,смысловой,тип,речь,584
структура,значение,слово,воронеж,583
зеркало,когнитивный,исследование,политический,583
фразеологический,семантика,язык,воронеж,583
методика,обучение,иностранный,язык,583
проблема,язык,наука,терминология,582
ключевой,идея,русский,языковой,582
разговорный,речь,общий,вопрос,582
идея,русский,языковой,картина,581
курс,современный,русский,язык,581
стиль,современный,русский,язык,581
восприятие,когнитивный,аспект,языковой,576
общий,вопрос,словообразование,синтаксис,575
речь,общий,вопрос,словообразование,574
культура,русский,речь,энциклопедический,574
русский,языковый,картина,мир,573
мир,человек,текст,семиосфера,573
русский,язык,сегодня,Вып,573
языковой,ментальность,способ,представление,573
основной,проблема,лексический,семантика,571
современный,английский,язык,Дисс,571
язык,Изв,ан,ссср,570
словарь,сочетаемость,слово,русский,570
различие,строение,человеческий,язык,569
человек,текст,семиосфера,история,569
русский,речь,энциклопедический,словарь,569
