современный,русский,язык,87104
словарь,русский,язык,47089
русский,литературный,язык,40827
современный,русский,литературный,19512
кандидат,филологический,наука,6119
язык,ан,ссср,2185
словарь,современный,русский,8667
институт,русский,язык,5291
русский,язык,ан,1554
грамматика,русский,язык,10000
толковый,словарь,русский,14893
язык,художественный,литература,6770
бессоюзный,сложный,предложение,1884
современный,литературный,язык,1231
великий,отечественный,война,1114
язык,художественный,произведение,1239
толковый,словарь,живой,4992
словарь,живой,великорусский,5068
живой,великорусский,язык,5028
этимологический,словарь,русский,6618
словарный,состав,русский,1432
доктор,филологический,наука,4682
произведение,художественный,литература,1559
обучение,русский,язык,2559
русский,язык,век,2977
второй,половина,век,4456
история,русский,литературный,5997
филологический,наука,профессор,1321
сравнительно,исторический,метод,1001
конец,начало,век,2374
история,русский,язык,7762
словарь,древнерусский,язык,2439
первый,половина,век,2685
словарь,академия,российский,1438
русский,язык,слово,1959
состав,русский,язык,1565
слово,русский,язык,4159
полный,собрание,сочинение,2845
культура,русский,речь,3235
бодуэн,де,Куртенэ,5677
академия,наука,ссср,4638
государственный,педагогический,институт,1534
высокий,учебный,заведение,1897
словарь,синоним,русский,4037
синоним,русский,язык,5028
словарь,иностранный,слово,4562
этимологический,словарь,тюркский,1224
словарь,тюркский,язык,1618
современный,тюркский,язык,1285
форма,множественный,число,2063
словарь,русский,литературный,1311
повесть,временной,год,1281
форма,прошедший,время,2372
изучение,русский,язык,2318
русский,язык,русский,4356
устный,народный,творчество,1512
русский,язык,являться,1283
лицо,единственный,число,1176
преподавание,русский,язык,6786
кафедра,русский,язык,3409
русский,народный,говор,6013
лексический,значение,слово,6062
финно,угорский,язык,2425
синтаксис,русский,язык,6235
словарь,русский,народный,2138
научно,технический,информация,1605
система,русский,язык,4249
язык,вопрос,языкознание,5306
язык,народ,ссср,3110
татарский,литературный,язык,2444
вопрос,культура,речь,1477
институт,языкознание,ан,1721
языкознание,ан,ссср,2960
современный,английский,язык,37297
русский,язык,вв,3325
соискание,ученый,степень,3380
сравнительно,исторический,изучение,1381
грамматика,современный,русский,2155
известие,ан,ссср,5457
современный,немецкий,язык,16105
указ,раб,стр,2580
Автореф,канд,дисс,1701
тунгусо,маньчжурский,язык,1368
узбекский,литературный,язык,1214
лексико,семантический,группа,7905
сделать,следующий,вывод,2031
язык,ученый,записка,1994
язык,советский,тюркология,1155
сравнительный,грамматика,тюркский,1081
грамматика,тюркский,язык,2827
язык,алма,ата,1368
татарский,язык,казань,1556
язык,Автореф,канд,2204
второстепенный,член,предложение,1149
форма,настоящий,время,1440
литературный,язык,век,1436
сравнительно,исторический,грамматика,1882
ученый,степень,доктор,1004
карачаево,балкарский,язык,3661
экспериментально,фонетический,исследование,2430
гос,пед,ин,9438
словарный,состав,язык,2203
современный,татарский,литературный,1094
исторический,грамматика,русский,3338
международный,съезд,славист,1629
канд,филол,наука,175885
соиск,учить,степ,2355
учить,степ,канд,1877
степ,канд,филол,2170
лексико,семантический,вариант,2144
Моск,гос,пед,1887
языковой,картина,мир,35222
носитель,русский,язык,4222
когнитивный,точка,зрение,2015
преподавание,иностранный,язык,4625
модель,смысл,текст,1094
русский,язык,иностранец,1214
сложный,синтаксический,целый,1128
видо,временный,форма,1108
средство,массовый,информация,6264
российский,академия,наука,1958
институт,языкознание,ран,3714
позволять,сделать,вывод,2935
филологический,факультет,мгу,1895
система,часть,речь,1170
решение,поставлять,задача,2205
предложение,русский,язык,1295
внутренний,мир,человек,2007
наивный,картина,мир,1441
настоящий,исследование,являться,1371
лексико,семантический,поле,4269
внутренний,форма,слово,2051
обучение,иностранный,язык,3610
норма,русский,язык,1001
материал,французский,язык,1101
американский,вариант,английский,2134
вариант,английский,язык,4433
разный,часть,речь,1440
проблема,современный,лингвистика,1023
семантический,структура,предложение,1999
проблема,семантический,анализ,3028
семантический,анализ,лексика,2742
объект,исследование,являться,4253
государственный,педагогический,университет,4060
языковой,средство,выражение,2295
выражение,пространственный,отношение,1354
государственный,лингвистический,университет,1850
косвенный,речевой,акт,1609
основа,общий,теория,1022
играть,важный,роль,1514
предложный,падежный,форма,1467
русский,язык,семантический,1387
лингвистический,энциклопедический,словарь,11899
грамматический,средство,выражение,1062
список,использовать,литература,4344
антоним,русский,язык,1061
причинно,следственный,отношение,1313
новый,объяснительный,словарь,1634
объяснительный,словарь,синоним,1596
семантический,тип,предикат,1726
лексика,русский,язык,4703
логический,анализ,язык,16377
анализ,язык,язык,5497
тип,языковой,значение,5608
языковой,значение,оценка,2644
значение,оценка,событие,2641
оценка,событие,факт,2672
язык,русский,культура,23175
современный,этап,развитие,2449
известие,ан,серия,1149
ан,серия,литература,1075
Автореф,дис,докт,4609
дис,докт,филол,7347
докт,филол,наука,13236
русский,язык,лексика,2025
семантический,класс,глагол,1018
русский,разговорный,речь,6732
результат,проводить,исследование,2825
структура,представление,знание,1972
фрагмент,языковой,картина,1779
интегральный,описание,язык,2053
краткий,словарь,когнитивный,3908
словарь,когнитивный,термин,3929
метод,компонентный,анализ,2330
русский,языковой,сознание,2380
средство,массовый,коммуникация,1264
семантический,структура,слово,5723
русский,английский,словарь,1215
тип,лексический,значение,2417
коммуникативный,прагматический,аспект,3449
функционирование,русский,язык,1057
развитие,современный,русский,1224
анализ,язык,ментальный,1216
язык,ментальный,действие,1221
лексический,семантика,синонимический,2954
семантика,синонимический,средство,2911
синонимический,средство,язык,2972
решать,следующий,задача,1193
большой,российский,энциклопедия,5671
принцип,история,язык,1064
официально,деловой,стиль,1463
апробация,результат,исследование,1046
материал,русский,язык,5095
русский,языковой,картина,7081
словарь,новый,слово,2176
сознание,носитель,язык,1757
функционально,семантический,поле,6062
функционально,семантический,категория,3025
семантика,языковой,единица,4051
теория,речевой,деятельность,2834
вестник,московский,университет,3094
теория,речевой,акт,5976
средство,выражение,модальность,1297
лингвистический,анализ,текст,1244
речь,русский,язык,1298
коммуникативный,грамматика,русский,1089
единица,русский,язык,2016
работа,посвящать,исследование,1142
концептуальный,картина,мир,1971
анализ,языковой,единица,1566
материал,исследование,послужить,4477
аспект,речевой,деятельность,1417
история,английский,язык,1544
язык,русский,язык,4215
лексический,система,язык,2804
формирование,языковой,картина,1389
теория,речевой,жанр,1232
материал,немецкий,язык,2875
материал,английский,язык,6157
модель,пространство,время,1259
категория,определенность,неопределенность,1314
англо,русский,словарь,5163
философский,энциклопедический,словарь,2240
решение,следующий,задача,3593
данный,работа,являться,1286
языковой,сознание,носитель,1101
фразеологический,словарь,русский,4679
фразеология,русский,язык,1634
русский,язык,грамматический,4460
Полн,собр,соч,1504
русский,речевой,этикет,1492
стилистика,теория,поэтический,1521
теория,поэтический,речь,1689
поэтический,речь,поэтика,1493
несобственный,прямой,речь,2052
большой,толковый,словарь,2957
русский,язык,спб,1526
русский,язык,энциклопедия,3490
ученый,степень,кандидат,1707
степень,кандидат,филологический,1523
ан,ссср,серия,3537
ссср,серия,литература,2689
русский,язык,синтаксис,2791
синтаксис,простой,предложение,1808
константа,словарь,русский,3019
словарь,русский,культура,3126
русский,культура,опыт,1437
культура,опыт,исследование,1415
русский,язык,словарь,1435
императорский,академия,наука,1047
пословица,русский,народ,1269
текст,Отв,ред,1112
миф,народ,мир,1299
русский,язык,конец,3991
институт,лингвистический,исследование,1723
лингвистический,исследование,ран,1124
система,современный,русский,1374
методика,преподавание,иностранный,2360
сложный,синтаксический,целое,1272
стилистика,русский,язык,5534
язык,грамматический,учение,3936
лексико,семантический,система,4950
семантический,система,язык,3843
фонд,русский,язык,1593
развитие,русский,язык,1272
народ,российский,федерация,1004
советский,энциклопедический,словарь,1032
русский,язык,Вып,1115
литературный,язык,Автореф,2126
историко,этимологический,словарь,2147
этимологический,словарь,современный,1310
романо,германский,филология,1526
методика,преподавание,русский,1069
сравнительно,исторический,языкознание,1120
лексикология,русский,язык,2307
язык,конец,век,1226
большой,англо,русский,1898
общественно,политический,лексика,1954
уровень,языковой,система,1241
язык,система,язык,1130
система,язык,текст,1829
язык,текст,язык,1123
текст,язык,способность,1074
язык,конец,столетие,2032
семантика,русский,язык,2192
Изв,ан,ссср,6028
языковой,вкус,эпоха,1148
словообразовательный,словарь,русский,1434
словарь,русский,говор,1826
язык,средство,массовый,1175
специфика,языковой,сознание,1442
вариант,речевой,поведение,1065
доклад,международный,конференция,2606
вестник,мгу,серия,1466
лексика,современный,русский,2761
современный,французский,язык,5036
материал,международный,конференция,2252
языковой,личность,культурный,2062
личность,культурный,концепт,2053
ан,ссср,ин,6029
Дисс,канд,филол,9581
филол,наука,екатеринбург,2213
ран,сера,лит,1189
зарубежный,лингвистика,Вып,14168
русский,языковой,личность,1281
ассоциативный,вербальный,сеть,1016
наука,конец,век,2484
русский,язык,Изд,1345
межвузовский,сборник,научный,4728
сборник,научный,труд,11456
проблема,речевой,жанр,1193
жанр,речь,саратов,2854
вопрос,теория,речевой,1205
учебно,методический,пособие,1286
язык,культура,познание,3627
актуальный,проблема,лексикология,2686
национальный,культурный,специфика,7642
культурный,специфика,речевой,1740
специфика,речевой,поведение,1422
моделирование,социальный,взаимодействие,1376
языковой,концептуализация,мир,1629
материал,русский,грамматика,1315
Межвуз,сб,науч,6768
сб,науч,тр,16187
язык,познание,коммуникация,3405
