термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
русский язык,,2686.8,1891.3,3373.6,3965.1,4351.1,3109.8,1940.0
английский язык,,40.7,75.6,941.2,873.2,1022.9,927.5,484.8
литературный язык,,1026.8,1011.0,1027.8,830.1,673.3,400.1,214.4
картина мир,,1.2,2.3,7.0,257.6,694.6,723.6,422.2
немецкий язык,,33.5,52.8,400.6,352.7,424.4,302.9,152.8
языковой личность,,0.0,0.0,0.1,142.2,340.4,365.6,182.4
русский речь,,448.8,223.0,268.2,470.4,275.7,226.6,191.8
тюркский язык,,74.2,1612.7,830.0,186.7,174.0,140.6,132.1
языковой картина,,0.0,0.3,1.9,94.0,296.0,321.6,134.0
фразеологический единица,,8.4,69.3,238.1,261.7,267.7,232.4,80.4
зарубежный лингвистика,,0.0,2.3,85.9,271.8,284.1,161.8,43.7
французский язык,,50.3,42.5,240.1,199.2,252.5,193.3,203.6
семантический поле,,3.6,8.0,102.4,191.7,248.9,168.6,162.2
иностранный язык,,33.5,41.8,217.1,201.7,213.3,178.1,143.4
семантический структура,,4.8,35.5,307.2,273.3,232.0,117.9,40.4
когнитивный лингвистика,,0.0,0.0,0.0,33.2,187.9,284.4,207.3
разговорный речь,,333.9,165.2,271.6,259.8,218.0,111.1,136.4
настоящий время,,150.8,304.9,250.3,168.6,161.1,188.0,235.6
лексический единица,,9.6,50.6,160.2,157.2,212.2,173.9,142.5
речевой акт,,20.3,3.8,43.0,197.6,229.1,165.7,111.4
языковой единица,,8.4,19.6,90.5,190.2,218.9,150.4,80.9
языковой сознание,,14.4,3.6,5.6,60.4,199.8,210.7,82.8
речевой деятельность,,25.1,7.7,74.9,175.2,195.4,135.5,71.9
лексический значение,,33.5,72.2,191.0,211.9,185.8,102.6,75.7
анализ язык,,7.2,12.7,43.7,158.3,272.2,184.7,72.9
система язык,,20.3,38.9,157.0,194.9,197.2,128.1,56.0
языковой средство,,69.4,26.8,94.3,128.9,165.7,146.7,108.1
имя существительное,,100.5,117.0,189.6,159.8,156.9,96.0,26.8
межкультурный коммуникация,,0.0,0.0,0.7,9.8,137.4,191.2,119.9
