термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
фрагмент русский языковой картина мир,,0.0,0.0,0.0,8.4,20.6,13.1,4.7
грамматика современный русский литературный язык,,2.4,8.5,19.6,19.6,15.8,6.1,2.4
коннотативный аспект семантика номинативный единица,,0.0,0.0,0.3,14.1,17.3,9.1,3.3
лексический атлас русский народный говор,,0.0,0.0,0.3,7.2,13.3,9.2,3.3
национальный культурный специфика речевой поведение,,0.0,0.2,4.4,13.5,12.8,4.8,1.4
сравнительно исторический грамматика тюркский язык,,0.0,5.1,8.6,6.0,9.0,8.9,5.6
основной тип лексический значение слово,,0.0,1.8,14.0,10.9,9.9,4.9,1.4
теоретический грамматика современный английский язык,,0.0,0.0,8.3,4.7,5.4,5.1,0.5
развитие лексика современный русский язык,,1.2,0.0,8.5,7.0,5.9,3.7,0.0
словарный состав русский литературный язык,,4.8,4.2,6.5,6.1,5.2,2.9,0.5
закономерность стилистический использование языковый единица,,0.0,0.0,4.8,5.7,5.9,2.5,0.9
стиль современный русский литературный язык,,1.2,0.3,3.0,5.5,4.2,2.0,1.4
национальный социокультурный стереотип речевой общение,,0.0,0.0,0.0,0.9,4.4,3.1,0.5
словарный состав современный английский язык,,0.0,0.2,4.8,3.0,3.3,2.5,0.9
фразеологический единица современный русский язык,,0.0,0.2,3.2,2.9,3.7,2.5,0.0
грамматика современный турецкий литературный язык,,0.0,19.4,7.4,1.8,2.3,1.2,0.5
грамматика современный узбекский литературный язык,,1.2,16.8,7.6,1.6,2.3,1.0,0.0
лексика современный русский литературный язык,,6.0,2.3,5.4,3.5,3.2,1.5,0.5
функциональный стиль современный русский язык,,1.2,0.8,5.2,4.1,3.4,1.3,0.5
семантика языковой единица разный уровень,,0.0,0.0,0.5,3.4,3.6,2.2,0.0
лингвистический основа балканский модель мир,,0.0,0.0,0.0,2.8,4.2,1.6,0.0
функциональный синтаксис современный английский язык,,0.0,0.0,4.9,5.4,3.2,1.1,0.9
синтаксис современный русский литературный язык,,1.2,1.1,4.4,4.3,3.3,1.0,0.9
норма современный русский литературный язык,,8.4,2.6,2.4,2.5,3.1,1.7,0.5
синонимика современный русский литературный язык,,1.2,0.3,3.8,3.5,3.4,1.2,0.5
ассоциативный тезаурус современный русский язык,,0.0,0.0,0.0,0.6,3.1,2.9,0.0
единица словообразовательный система русский язык,,0.0,0.0,0.0,2.2,3.1,2.1,0.5
морфологический категория современный русский язык,,0.0,0.0,1.8,4.1,3.0,1.2,0.0
грамматика современный башкирский литературный язык,,0.0,0.2,2.0,1.8,2.8,1.8,0.0
исторический развитие лексика тюркский язык,,1.2,6.4,3.1,2.0,2.3,1.1,0.5
национальный культурный специфика речевой общение,,0.0,0.0,0.5,2.1,2.8,1.4,0.0
развитие фонетика современный русский язык,,0.0,0.2,3.4,3.4,2.3,0.9,0.5
история лексика русский литературный язык,,0.0,0.3,1.6,3.5,2.7,0.9,0.0
механизм экспрессивный окраска языковой единица,,0.0,0.0,0.0,2.2,2.7,1.5,0.5
лексический система современный русский язык,,0.0,0.3,1.2,1.6,2.3,1.6,2.8
грамматический строй современный русский язык,,3.6,0.2,1.0,2.3,2.6,1.0,0.0
конструкция современный русский литературный язык,,0.0,0.2,1.0,3.3,2.4,1.1,0.0
исторический грамматика русский литературный язык,,2.4,0.7,2.9,3.5,2.0,1.1,0.0
новый лексика современный английский язык,,0.0,0.0,0.0,1.7,2.2,1.8,0.5
часть речь современный русский язык,,0.0,0.0,0.9,2.0,2.3,1.1,0.0
диалогический речь современный английский язык,,0.0,0.0,2.2,2.7,2.2,0.9,0.0
типологический описание современный германский язык,,0.0,1.1,4.0,2.2,1.8,0.8,0.0
национальный культурный аспект оценочный семантика,,0.0,0.0,0.0,0.9,2.4,1.4,0.0
фонетика современный русский литературный язык,,0.0,0.3,2.5,1.4,2.1,1.0,1.4
развитие синтаксис современный русский язык,,6.0,1.1,2.9,2.3,1.9,0.6,0.0
сравнительно исторический лексика дагестанский язык,,0.0,0.7,0.5,1.2,1.9,1.6,0.0
грамматика современный якутский литературный язык,,0.0,0.0,0.8,1.0,2.0,1.3,0.5
языковой сознание носитель русский язык,,0.0,0.0,0.2,0.3,1.4,2.1,2.4
особенность язык современный газетный публицистика,,0.0,0.0,0.6,1.6,1.9,1.2,0.0
эмоционально чувственный компонент значение слово,,0.0,0.0,0.0,0.0,2.1,1.4,0.9
