термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
современный русский литературный язык,,158.0,100.5,191.4,188.1,157.8,78.6,28.2
русский языковой картина мир,,0.0,0.0,0.0,12.2,57.4,59.3,24.4
история русский литературный язык,,33.5,15.7,31.6,59.9,48.5,29.2,8.0
синтаксис современный русский язык,,7.2,3.8,23.7,38.7,29.2,13.7,5.6
лексико семантический система язык,,0.0,2.3,28.9,25.7,28.0,14.6,7.1
исторический грамматика русский язык,,13.2,7.7,23.8,29.8,25.2,15.5,6.1
национальный корпус русский язык,,0.0,0.0,0.0,0.0,9.8,43.7,70.1
методика преподавание иностранный язык,,1.2,1.6,22.9,16.6,18.2,14.3,14.1
лексика современный русский язык,,2.4,1.3,22.4,21.5,19.3,9.8,3.8
стилистика современный английский язык,,0.0,0.7,14.2,14.6,17.8,10.1,3.3
американский вариант английский язык,,0.0,0.3,9.9,9.9,17.2,15.4,5.2
фразеология современный русский язык,,1.2,1.6,14.3,14.6,17.2,12.3,3.8
фрагмент языковой картина мир,,0.0,0.0,0.0,6.5,16.2,12.2,6.6
атлас русский народный говор,,1.2,1.0,2.0,7.7,14.2,9.6,3.3
коммуникативный аспект русский синтаксис,,0.0,0.0,10.1,18.1,12.5,6.4,1.4
фразеология современный английский язык,,0.0,0.5,3.8,9.5,11.4,11.0,2.8
тип лексический значение слово,,0.0,2.0,17.9,13.2,11.6,5.6,1.4
формирование языковой картина мир,,0.0,0.0,0.0,6.4,12.9,9.0,3.8
основной тип лексический значение,,0.0,2.0,15.4,12.0,11.2,5.3,1.4
исторический грамматика тюркский язык,,0.0,7.7,10.7,6.2,9.3,9.0,5.6
культурный специфика речевой поведение,,0.0,0.2,4.8,13.7,13.1,4.9,1.4
этнокультурный специфика языковой сознание,,0.0,0.0,0.0,3.4,12.8,8.1,0.5
функциональный синтаксис русский язык,,0.0,1.5,11.9,15.5,10.0,5.6,1.4
когнитивный аспект языковой категоризации,,0.0,0.0,0.0,2.6,12.0,7.1,0.9
лексикология современный русский язык,,1.2,0.7,8.4,7.8,10.4,5.8,2.8
система современный русский язык,,2.4,1.6,5.9,7.8,10.1,6.4,3.8
грамматика современный английский язык,,0.0,0.0,11.8,6.7,7.9,7.7,0.5
язык средство массовый информация,,0.0,0.3,0.5,3.4,5.7,13.0,9.4
теоретический грамматика французский язык,,0.0,0.0,10.2,9.6,9.4,5.3,0.5
современный татарский литературный язык,,0.0,14.9,6.3,5.9,8.6,6.0,0.5
отраслевой лексика дагестанский язык,,0.0,0.0,0.4,2.6,9.2,8.9,0.0
сравнительный грамматика тюркский язык,,0.0,34.3,12.5,5.0,7.7,3.4,0.9
концепт становление антропоцентрический парадигма,,0.0,0.0,0.0,0.0,8.4,9.4,2.8
коммуникативный грамматика русский язык,,0.0,0.0,0.1,5.0,10.3,6.4,2.4
теоретический грамматика английский язык,,0.0,0.0,6.9,5.8,7.8,7.9,1.9
смысловой восприятие речевой сообщение,,0.0,0.5,6.6,12.6,9.5,3.4,0.5
язык народ российский федерация,,0.0,0.2,6.0,2.9,10.2,4.4,6.1
лексико семантический группа слово,,0.0,2.0,13.4,9.8,8.3,3.7,1.4
методика преподавание русский язык,,4.8,5.4,12.9,9.1,7.5,4.4,0.5
номинативный аспект речевой деятельность,,0.0,0.0,0.5,9.1,9.3,5.2,2.8
лексикология современный английский язык,,0.0,0.2,7.7,6.0,7.7,6.6,2.4
компонент содержательный структура слово,,0.0,0.5,8.6,8.1,9.1,3.5,0.0
синтаксис современный немецкий язык,,0.0,1.3,11.6,8.9,7.4,4.6,1.4
французский школа анализ дискурс,,0.0,0.0,0.0,0.1,7.5,9.0,2.4
основа теория речевой деятельность,,0.0,0.7,7.0,10.3,8.6,3.5,2.8
