термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
современный русский язык,,233.4,143.8,602.2,805.2,746.8,434.3,197.9
русский литературный язык,,368.6,256.2,366.5,415.0,338.8,180.1,56.0
грамматика русский язык,,62.2,30.2,70.4,92.7,84.5,48.7,23.0
язык художественный литература,,40.7,41.2,58.3,73.1,45.6,39.3,40.9
бессоюзный сложный предложение,,6.0,10.5,12.5,17.8,20.2,3.4,0.5
современный литературный язык,,61.0,28.4,18.0,11.3,7.2,5.3,4.2
язык художественный произведение,,9.6,10.1,12.8,10.4,10.2,5.1,2.4
сравнительно исторический метод,,3.6,17.0,11.0,6.2,7.4,4.8,2.4
история русский язык,,55.1,36.6,52.5,69.2,61.8,46.8,57.4
состав русский язык,,12.0,8.7,11.9,12.7,12.2,8.9,5.2
культура русский речь,,20.3,11.9,9.6,12.4,27.3,22.4,9.9
современный тюркский язык,,3.6,85.6,38.5,4.5,2.9,2.9,1.4
форма множественный число,,47.9,26.0,20.8,18.7,13.7,11.6,8.0
форма прошедший время,,9.6,25.2,21.2,19.0,13.0,17.4,29.2
русский народный говор,,34.7,40.0,45.3,42.8,47.3,34.7,15.5
лексический значение слово,,1.2,9.3,48.3,56.9,53.3,27.9,14.1
финно угорский язык,,7.2,27.4,17.6,24.5,21.8,23.6,22.1
синтаксис русский язык,,14.4,13.9,53.4,73.4,52.1,26.6,8.5
система русский язык,,4.8,11.6,20.7,31.1,38.5,26.4,16.9
татарский литературный язык,,0.0,34.0,17.1,12.3,21.4,12.0,0.5
современный английский язык,,1.2,22.7,417.2,322.0,288.3,203.0,45.1
современный немецкий язык,,0.0,10.0,188.4,143.3,135.9,71.4,15.0
тунгусо маньчжурский язык,,4.8,16.5,14.5,5.0,9.6,9.3,16.0
узбекский литературный язык,,1.2,71.4,30.7,12.4,4.3,2.2,0.0
лексико семантический группа,,0.0,11.4,79.6,60.6,68.0,37.7,23.0
грамматика тюркский язык,,0.0,59.0,32.6,13.4,19.8,13.7,7.5
второстепенный член предложение,,9.6,15.2,16.2,13.5,7.7,4.4,0.5
форма настоящий время,,7.2,20.1,15.4,9.2,6.9,11.8,16.9
литературный язык век,,21.5,10.1,9.7,11.6,12.3,6.9,0.5
сравнительно исторический грамматика,,0.0,9.6,11.6,12.2,14.2,12.8,6.6
карачаево балкарский язык,,0.0,47.1,26.9,15.9,31.4,19.6,3.8
словарный состав язык,,10.8,13.2,22.4,17.9,17.5,10.7,5.6
лексико семантический вариант,,0.0,13.6,26.4,13.5,18.1,10.2,7.1
языковой картина мир,,0.0,0.0,0.9,85.6,285.4,314.2,131.2
носитель русский язык,,1.2,2.0,5.3,16.8,33.1,35.9,29.6
модель смысл текст,,0.0,0.2,1.0,11.3,10.1,5.9,4.7
видо временный форма,,1.2,0.3,8.6,10.5,8.4,6.9,11.8
система часть речь,,2.4,2.1,7.1,11.6,10.1,6.0,2.8
наивный картина мир,,0.0,0.0,0.1,10.4,13.6,9.0,7.5
лексико семантический поле,,0.0,0.5,11.1,17.6,36.4,30.7,26.3
внутренний форма слово,,3.6,6.4,6.7,21.1,18.7,11.3,5.6
норма русский язык,,9.6,2.6,4.4,8.3,9.1,6.2,1.4
американский вариант английский,,0.0,0.3,10.1,9.9,17.4,15.7,5.2
вариант английский язык,,0.0,0.3,19.4,26.8,34.6,33.9,9.4
семантический структура предложение,,0.0,0.3,32.9,29.2,14.9,6.6,0.0
семантический анализ лексика,,0.0,2.0,22.8,21.8,25.1,12.4,4.7
языковой средство выражение,,3.6,1.0,10.4,15.4,19.2,15.1,7.1
косвенный речевой акт,,0.0,0.0,2.7,12.2,14.8,10.2,3.3
предложный падежный форма,,3.6,2.9,13.6,12.2,13.2,6.8,1.4
грамматический средство выражение,,0.0,2.3,10.8,8.9,8.2,6.3,0.9
семантический тип предикат,,0.0,0.0,9.3,22.3,13.9,9.4,1.9
лексика русский язык,,10.8,3.3,25.6,41.2,42.4,23.4,8.5
логический анализ язык,,0.0,0.7,6.5,91.2,172.6,98.8,24.9
тип языковой значение,,0.0,0.0,17.0,46.0,51.8,30.4,7.5
семантический класс глагол,,0.0,0.7,9.4,11.3,9.1,4.2,5.6
русский разговорный речь,,15.6,5.4,46.9,70.3,60.4,28.6,29.2
фрагмент языковой картина,,0.0,0.0,0.0,6.7,16.6,12.5,6.6
интегральный описание язык,,0.0,0.0,0.1,12.1,19.5,13.1,6.1
метод компонентный анализ,,0.0,2.3,17.9,14.4,19.7,13.9,7.1
русский языковой сознание,,0.0,0.0,0.0,3.4,20.1,21.2,2.4
семантический структура слово,,0.0,5.9,67.8,59.8,52.2,22.4,12.2
тип лексический значение,,0.0,2.5,27.9,25.4,20.6,9.6,2.8
коммуникативный прагматический аспект,,0.0,0.0,2.0,19.0,32.9,22.2,7.5
синонимический средство язык,,0.0,0.8,14.4,26.0,26.4,16.1,8.0
официально деловой стиль,,6.0,1.1,5.0,6.9,13.7,8.8,0.9
сознание носитель язык,,3.6,1.3,2.6,7.0,15.1,14.8,8.0
функционально семантический поле,,0.0,0.0,17.3,55.8,55.8,32.9,8.9
функционально семантический категория,,0.0,0.0,23.8,27.9,24.7,17.0,7.1
семантика языковой единица,,0.0,0.5,5.0,32.5,40.5,19.9,4.2
теория речевой деятельность,,0.0,0.8,12.2,27.6,24.5,15.8,8.5
теория речевой акт,,0.0,0.2,5.3,47.9,53.5,38.2,17.9
средство выражение модальность,,0.0,2.6,10.4,11.6,12.0,5.4,0.9
лингвистический анализ текст,,0.0,0.8,4.9,10.3,11.9,9.6,5.6
речь русский язык,,1.2,1.3,3.0,9.7,11.6,5.6,1.9
единица русский язык,,0.0,0.3,5.5,17.4,18.0,11.9,5.6
концептуальный картина мир,,0.0,0.0,0.0,7.1,17.8,15.0,3.8
анализ языковой единица,,0.0,0.5,1.7,8.9,13.6,11.5,2.8
аспект речевой деятельность,,0.0,0.2,1.0,14.1,13.4,7.6,3.8
история английский язык,,0.0,0.0,10.8,11.6,11.4,11.1,1.9
лексический система язык,,1.2,3.8,13.4,21.3,25.0,16.2,4.7
формирование языковой картина,,0.0,0.0,0.0,7.0,13.0,9.2,3.8
теория речевой жанр,,0.0,0.0,0.0,3.8,10.0,11.8,5.2
модель пространство время,,0.0,0.0,0.0,6.9,12.6,7.2,1.4
категория определенность неопределенность,,0.0,3.8,7.4,7.9,11.6,7.7,0.0
языковой сознание носитель,,0.0,0.5,1.1,2.5,7.9,11.6,9.9
фразеология русский язык,,2.4,1.5,8.1,12.9,14.9,8.2,2.8
русский речевой этикет,,0.0,0.3,4.2,11.6,15.3,7.4,3.8
теория поэтический речь,,15.6,2.9,11.2,15.7,15.1,8.0,2.8
несобственный прямой речь,,14.4,5.6,19.9,12.8,17.1,11.5,1.4
синтаксис простой предложение,,0.0,4.9,13.9,20.9,14.5,7.5,1.9
русский культура опыт,,0.0,0.0,0.0,0.5,3.3,2.4,0.9
пословица русский народ,,4.8,2.9,3.2,6.4,11.2,9.3,5.2
стилистика русский язык,,12.0,4.1,30.5,46.9,48.8,29.9,9.9
лексико семантический система,,2.4,5.2,44.7,42.7,42.2,24.6,10.8
семантический система язык,,1.2,3.6,37.3,32.2,33.6,17.9,8.5
развитие русский язык,,22.7,6.9,11.6,8.7,10.3,8.2,9.9
романо германский филология,,0.0,1.6,21.4,13.6,11.9,7.3,1.9
сравнительно исторический языкознание,,7.2,6.5,7.7,7.7,7.7,8.9,4.7
лексикология русский язык,,0.0,3.3,15.1,23.3,21.2,9.9,2.4
общественно политический лексика,,4.8,5.1,27.0,19.9,14.4,9.9,18.3
уровень языковой система,,1.2,1.0,5.0,11.5,10.7,7.1,3.3
семантика русский язык,,0.0,1.1,11.9,19.8,20.1,9.9,3.3
специфика языковой сознание,,0.0,0.0,0.0,4.1,14.7,9.7,1.4
вариант речевой поведение,,0.0,0.0,0.0,7.8,10.0,6.6,2.4
современный французский язык,,0.0,3.4,62.0,43.5,43.0,22.0,8.9
русский языковой личность,,0.0,0.0,0.0,3.2,10.2,12.3,4.2
ассоциативный вербальный сеть,,0.0,0.0,0.0,2.3,9.6,7.9,0.5
специфика речевой поведение,,0.0,0.2,4.9,14.7,14.1,5.8,4.2
языковой концептуализация мир,,0.0,0.0,0.0,8.4,16.7,9.1,1.9
структурно семантический характеристика,,0.0,0.7,12.5,13.4,13.5,7.9,2.4
структурно семантический особенность,,0.0,2.3,23.0,17.4,23.4,20.1,8.9
научно технический терминология,,16.8,6.5,42.6,35.8,42.0,27.0,4.2
структурно семантический тип,,1.2,2.5,15.4,15.1,12.5,6.5,0.9
структурно семантический анализ,,0.0,1.1,10.9,14.1,14.2,14.6,10.3
функционирование языковой единица,,0.0,0.2,3.7,9.4,10.5,5.5,1.4
лексико грамматический разряд,,0.0,1.6,9.5,15.9,10.2,5.4,1.9
анализ художественный текст,,1.2,1.3,10.0,24.8,42.9,29.1,10.8
язык художественный проза,,1.2,2.9,8.0,13.2,16.1,9.4,3.3
функциональный семантика оценка,,0.0,0.0,0.5,17.7,21.9,13.9,3.8
развитие словарный состав,,6.0,5.4,12.7,11.7,10.2,5.4,2.4
теория семантический поле,,0.0,0.8,11.2,10.3,14.7,8.2,2.4
структура значение слово,,0.0,0.7,11.6,12.9,13.0,6.9,3.3
лексико семантический группа,,0.0,11.4,79.6,60.6,68.0,37.7,23.0
семантический группа слово,,0.0,2.6,21.9,13.2,12.2,5.7,2.4
языковой механизм экспрессивность,,0.0,0.0,0.0,15.8,16.9,8.1,0.0
семасиология русский язык,,2.4,0.3,11.5,9.7,11.1,4.4,1.4
теория функциональный грамматика,,0.0,0.0,2.2,46.0,43.3,25.7,2.4
структура художественный текст,,0.0,0.3,11.0,21.9,27.5,16.5,2.8
анализ словарный дефиниция,,0.0,0.3,3.9,4.1,8.6,9.4,7.1
лексико фразеологический семантика,,0.0,0.0,0.0,1.7,14.2,11.0,4.7
