,word,freq,pos
0,язык,2213660,NOUN
1,русский,1149628,ADJF
2,текст,889553,NOUN
3,наука,694803,NOUN
4,слово,668316,NOUN
5,исследование,535595,NOUN
6,который,509253,ADJF
7,значение,429854,NOUN
8,словарь,419218,NOUN
9,современный,409131,ADJF
10,языковой,393050,ADJF
11,речь,383353,NOUN
12,семантический,359646,ADJF
13,проблема,334227,NOUN
14,материал,333915,NOUN
15,анализ,322963,NOUN
16,вопрос,321822,NOUN
17,являться,297717,INFN
18,это,283245,PRCL
19,форма,280881,NOUN
20,работа,272942,NOUN
21,структура,269938,NOUN
22,глагол,259706,NOUN
23,английский,247882,ADJF
24,предложение,245216,NOUN
25,единица,244051,NOUN
26,мочь,243944,NOUN
27,система,243659,NOUN
28,культура,242060,NOUN
29,также,237570,PRCL
30,семантика,231685,NOUN
31,Изд??,230227,
32,филол??,229935,
33,лингвистический,227704,ADJF
34,мир,227638,NOUN
35,тип,224076,NOUN
36,человек,222272,NOUN
37,лингвистика,220293,NOUN
38,свой,219537,ADJF
39,время,216117,NOUN
40,речевой,213478,ADJF
41,аспект,209774,NOUN
42,весь,208757,ADJF
43,общий,206383,ADJF
44,теория,204796,NOUN
45,ред,204275,NOUN
46,основа,203335,NOUN
47,канд??,203148,
48,данный,202683,ADJF
49,научный,201486,ADJF
50,языкознание,194368,NOUN
51,отношение,193779,NOUN
52,изучение,189244,NOUN
53,особенность,189200,NOUN
54,средство,187132,NOUN
55,лексика,185559,NOUN
56,имя,184608,NOUN
57,литература,182543,NOUN
58,представлять,177792,INFN
59,лексический,175710,ADJF
60,художественный,174133,ADJF
61,основной,172410,ADJF
62,образ,172336,NOUN
63,категория,171818,NOUN
64,новый,170256,ADJF
65,концепт,166425,NOUN
66,часть,164646,NOUN
67,термин,163819,NOUN
68,иметь,161154,INFN
69,литературный,158354,ADJF
70,история,156381,NOUN
71,дис??,156264,
72,процесс,156019,NOUN
73,дискурс,152320,NOUN
74,развитие,151675,NOUN
75,первый,150460,ADJF
76,выражение,145257,NOUN
77,описание,142835,NOUN
78,когнитивный,142725,ADJF
79,Вып??,140105,
80,год,140046,NOUN
81,связь,139641,NOUN
82,понятие,139377,NOUN
83,коммуникативный,138892,ADJF
84,грамматический,138549,ADJF
85,перевод,136718,NOUN
86,грамматика,135411,NOUN
87,группа,134924,NOUN
88,метод,132639,NOUN
89,синтаксический,131903,ADJF
90,др,131413,NOUN
91,функция,130973,NOUN
92,разный,129898,ADJF
93,различный,129419,ADJF
94,уна,129395,NOUN
95,результат,129168,NOUN
96,некоторый,127644,ADJF
97,конструкция,127600,NOUN
98,век,125417,NOUN
99,модель,125117,NOUN
100,вид,123996,NOUN
101,автор,121311,NOUN
102,объект,120566,NOUN
103,школа,120030,NOUN
104,спб,119507,NOUN
105,случай,119456,NOUN
106,признак,118309,NOUN
107,компонент,116737,NOUN
108,коммуникация,116088,NOUN
109,статья,113830,NOUN
110,характеристика,113378,NOUN
111,труд,111807,NOUN
112,способ,111632,NOUN
113,Автореф??,108043,
114,уровень,107034,NOUN
115,например,105859,CONJ
116,действие,105311,NOUN
117,большой,104123,ADJF
118,немецкий,103795,ADJF
119,ситуация,102206,NOUN
120,употребление,101832,NOUN
121,роль,101781,NOUN
122,глава,101067,NOUN
123,цель,100424,NOUN
124,картина,100109,NOUN
125,явление,99988,NOUN
126,пример,99864,NOUN
127,теоретический,99503,ADJF
128,национальный,99360,ADJF
129,позволять,99292,INFN
130,говорить,98859,INFN
131,произведение,98665,NOUN
132,смысл,98241,NOUN
133,наш,97408,ADJF
134,функциональный,96996,ADJF
135,фразеологический,95654,ADJF
136,следующий,95585,ADJF
137,исторический,95273,ADJF
138,число,94795,NOUN
139,второй,93866,ADJF
140,филологический,93590,ADJF
141,название,92862,NOUN
