,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
1,аварский литературный язык,6.65,0.0,0.0,0.8,11.2,5.5,5.7,0.0,0.7105,80.68,45.0
2,автоматический обработка текст,05.03,0.0,1.3,0.9,4.1,4.8,4.1,1.9,0.4135,88.45,107.0
3,авторский картина мир,9.43,0.0,0.0,0.0,1.5,6.6,12.8,4.2,0.4835,87.01,93.0
4,азербайджанский литературный язык,05.01,0.0,32.8,20.4,1.7,1.6,0.7,0.0,0.7044,79.59,48.0
5,актуальный членение предложение,20.72,1.2,3.6,31.7,29.2,19.0,9.6,2.4,0.3299,92.14,120.0
6,американский вариант английский,18.4,0.0,0.3,10.1,9.9,17.4,15.7,5.2,0.4996,87.88,113.0
7,анализ абстрактный имя,5.13,0.0,0.0,0.0,1.5,5.6,4.3,1.4,0.4263,91.07,85.0
8,анализ естественный язык,4.56,0.0,0.0,1.0,5.4,5.1,2.5,0.9,0.3549,91.71,104.0
9,анализ поэтический текст,10.69,0.0,0.8,2.4,8.6,11.8,6.8,5.6,0.3681,91.84,116.0
10,анализ предметный имя,6.71,0.0,0.0,0.0,0.0,7.2,6.1,3.3,0.3668,92.1,94.0
11,анализ семантический структура,6.47,0.0,0.8,10.3,5.0,6.2,3.4,2.8,0.3159,92.1,111.0
12,анализ словарный дефиниция,9.74,0.0,0.3,3.9,4.1,8.6,9.4,7.1,0.3329,92.49,112.0
13,анализ структура значение,7.59,0.0,0.2,7.6,7.6,8.3,3.5,1.4,0.3267,92.99,105.0
14,анализ художественный текст,39.91,1.2,1.3,10.0,24.8,42.9,29.1,10.8,0.327,92.79,120.0
15,анализ язык модель,3.59,0.0,0.0,0.0,5.7,4.0,1.8,1.9,0.4032,90.87,95.0
16,анализ языковой единица,13.62,0.0,0.5,1.7,8.9,13.6,11.5,2.8,0.2893,93.75,115.0
17,анализ языковой средство,4.57,0.0,0.2,0.8,1.6,3.9,4.8,5.2,0.3378,92.2,106.0
18,английский диалогический речь,5.65,0.0,0.0,5.5,8.0,5.4,3.2,0.0,0.5042,86.86,83.0
19,английский разговорный речь,5.4,1.2,0.0,8.2,6.6,5.1,2.7,0.5,0.4842,87.73,91.0
20,английский языковой картина,6,0.0,0.0,0.0,0.1,4.1,8.1,10.3,0.5621,85.17,72.0
21,античный теория язык,5.62,1.2,0.2,3.3,5.0,5.6,4.0,0.0,0.3227,92.15,107.0
22,арабский литературный язык,4.81,0.0,0.3,9.9,0.9,5.3,2.0,0.5,0.7003,75.44,60.0
23,аспект речевой деятельность,12.28,0.0,0.2,1.0,14.1,13.4,7.6,3.8,0.3393,92.4,114.0
24,аспект речевой общение,4.3,0.0,0.2,0.4,2.5,3.6,4.6,0.9,0.4218,89.96,94.0
25,аспект русский синтаксис,12.56,0.0,0.0,10.2,18.3,12.7,6.4,1.4,0.3281,92.91,110.0
26,аспект семантика местоимение,06.05,0.0,0.0,0.2,6.1,6.4,4.3,1.4,0.3123,93.12,106.0
27,аспект языковой единица,4.36,0.0,0.2,1.6,3.9,4.8,2.6,0.9,0.3678,91.5,105.0
28,аспект языковой категоризации,10.08,0.0,0.0,0.0,2.6,12.1,7.2,0.9,0.4366,89.81,94.0
29,аспект языковой общение,5.57,0.0,0.0,0.1,7.8,6.2,3.2,0.0,0.4651,88.9,85.0
30,аспект языковой явление,6.99,3.6,0.7,8.4,8.1,6.3,4.2,2.4,0.2819,93.76,114.0
31,ассоциативный вербальный сеть,8.93,0.0,0.0,0.0,2.3,9.6,7.9,0.5,0.4095,89.23,104.0
32,башкирский литературный язык,6.69,0.0,6.4,7.3,4.8,5.7,4.3,10.3,0.5554,84.99,71.0
33,бессоюзный сложный предложение,16.19,6.0,10.5,12.5,17.8,20.2,3.4,0.5,0.4663,87.0,118.0
34,вариант английский язык,38.46,0.0,0.3,19.4,26.8,34.6,33.9,9.4,0.5184,87.74,115.0
35,вариант испанский язык,6.72,0.0,0.2,3.2,0.3,4.2,9.1,5.2,0.7306,77.49,54.0
36,вариант речевой поведение,9.18,0.0,0.0,0.0,7.8,10.0,6.6,2.4,0.3512,92.61,104.0
37,вариант французский язык,4.53,0.0,0.5,1.8,0.5,3.1,5.3,13.2,0.6912,78.97,54.0
38,вариантность фразеологический единица,7.79,0.0,1.5,12.5,8.4,7.3,3.9,0.0,0.4058,89.57,102.0
39,вид речевой деятельность,5.54,0.0,0.2,6.1,5.9,5.5,3.0,2.4,0.3813,90.5,105.0
40,видо временный форма,9.72,1.2,0.3,8.6,10.5,8.4,6.9,11.8,0.2829,93.39,117.0
41,внутренний структура язык,9.78,0.0,3.3,20.2,11.6,9.1,3.5,1.9,0.3377,91.83,114.0
42,внутренний форма слово,18.39,3.6,6.4,6.7,21.1,18.7,11.3,5.6,0.3105,92.0,122.0
43,временный локализованность таксис,0.05,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3366,92.02,101.0
44,временный форма глагол,8.44,1.2,3.9,10.3,7.8,7.1,5.8,2.4,0.309,91.81,121.0
45,время русский глагол,5.98,0.0,0.2,5.2,9.1,5.9,3.0,1.4,0.3213,92.12,112.0
46,второстепенный член предложение,9.86,9.6,15.2,16.2,13.5,7.7,4.4,0.5,0.3998,89.42,115.0
47,выражение временный отношение,5.87,0.0,0.7,7.3,6.0,5.4,3.6,0.0,0.4093,90.47,105.0
48,выражение модальный значение,6.11,0.0,1.5,3.1,4.6,5.7,4.9,0.0,0.4404,84.53,100.0
49,газетный публицистический стиль,12.01,1.2,0.5,8.1,13.1,13.1,6.1,2.4,0.373,91.05,111.0
50,главный член предложение,5.38,6.0,7.0,5.4,4.4,5.8,1.9,0.9,0.4454,86.37,104.0
51,глагол несовершенный вид,6.1,12.0,4.9,5.1,4.8,4.0,5.9,3.3,0.4278,88.4,104.0
52,глагол совершенный вид,6.91,4.8,5.6,5.1,6.6,4.3,6.9,5.2,0.4419,89.12,111.0
53,глагольный фразеологический единица,5.21,0.0,0.7,7.4,5.6,4.5,3.3,0.0,0.5233,86.63,87.0
54,гласный передний ряд,5.15,3.6,13.2,5.1,2.7,3.1,4.3,4.7,0.4279,89.82,94.0
55,говор азербайджанский язык,5.94,0.0,45.3,19.0,1.4,2.5,0.6,0.0,0.7693,75.89,40.0
56,говор русский север,5.73,0.0,0.0,2.3,1.1,4.2,7.0,4.7,0.5704,82.0,81.0
57,говор русский язык,4.95,8.4,5.9,4.2,5.1,3.3,4.1,4.2,0.4687,87.42,95.0
58,городской устный речь,7.21,0.0,0.0,0.0,11.4,7.9,3.8,2.4,0.3925,90.32,92.0
59,грамматика английский язык,24.85,0.0,0.7,25.2,18.5,21.7,19.8,5.2,0.4573,90.02,109.0
60,грамматика башкирский язык,5.74,1.2,17.0,8.0,2.8,4.3,3.3,0.5,0.5886,85.69,69.0
61,грамматика немецкий язык,14.17,1.2,1.3,7.8,11.0,15.0,9.2,1.9,0.4526,88.19,109.0
62,грамматика русский язык,85.9,62.2,30.2,70.4,92.7,84.5,48.7,23.0,0.2759,93.68,123.0
63,грамматика тюркский язык,24.46,0.0,59.0,32.6,13.4,19.8,13.7,7.5,0.5461,86.45,99.0
64,грамматика французский язык,12.23,0.0,0.8,13.3,11.9,12.3,6.8,0.9,0.3912,89.37,110.0
65,грамматический категория глагол,7.8,2.4,2.0,5.5,7.8,7.3,5.3,2.8,0.2828,93.0,118.0
66,грамматический категория род,4.41,1.2,1.5,2.2,4.2,4.2,3.2,1.4,0.3958,88.63,100.0
67,грамматический класс слово,4.67,0.0,0.8,5.8,6.0,4.2,2.7,0.5,0.345,91.65,110.0
68,грамматический система язык,4.49,0.0,2.0,3.9,3.0,2.9,4.7,2.8,0.2531,93.78,117.0
69,грамматический средство выражение,9.27,0.0,2.3,10.8,8.9,8.2,6.3,0.9,0.2709,93.66,118.0
70,грамматический строй язык,12.59,0.0,7.7,30.2,13.8,10.2,5.4,2.4,0.2998,92.03,121.0
71,группа русский глагол,4.73,0.0,0.0,0.5,10.1,4.9,2.1,1.9,0.4733,87.07,89.0
72,диалект аварский язык,6.54,0.0,0.0,2.4,7.7,5.9,5.3,0.0,0.7296,77.34,48.0
73,диалект даргинский язык,8.54,0.0,0.0,1.8,2.2,7.2,9.6,0.0,0.7214,77.35,46.0
74,диалект селькупский язык,4.65,0.0,0.3,0.0,2.5,1.9,7.0,14.6,0.7367,78.98,38.0
75,диалект сибирский татарин,5.11,0.0,4.6,3.7,7.7,5.2,2.0,0.0,0.6839,76.3,51.0
76,диалект татарский язык,7.28,0.0,13.9,11.5,4.1,4.8,5.5,3.3,0.5958,84.88,71.0
77,диалект хантыйский язык,6.42,0.0,0.0,0.2,0.3,4.8,8.0,15.5,0.7442,78.72,52.0
78,древнерусский литературный язык,5.74,16.8,6.4,3.1,12.0,4.6,2.9,0.0,0.5132,86.67,93.0
79,единица русский язык,17.43,0.0,0.3,5.5,17.4,18.0,11.9,5.6,0.3457,92.03,120.0
80,единица словообразовательный система,5.15,0.0,0.2,1.8,3.8,5.3,3.9,0.5,0.45,89.29,98.0
81,живой разговорный речь,7.5,16.8,17.3,11.3,6.6,5.9,3.2,5.6,0.3195,92.73,119.0
82,закономерность стилистический использование,5.56,0.0,0.0,4.9,5.9,6.2,2.6,0.9,0.3128,93.09,105.0
83,значение лексический единица,6.12,0.0,0.3,4.5,3.3,6.0,4.6,4.2,0.3061,92.75,113.0
84,значение многозначный слово,5.61,1.2,2.6,5.7,3.5,5.1,4.0,0.9,0.3078,92.06,117.0
85,значение фразеологический единица,5.58,0.0,1.1,3.6,6.6,4.9,4.2,0.9,0.3657,90.44,104.0
86,значение языковой единица,5.39,0.0,0.2,2.2,4.6,4.9,4.5,3.3,0.2538,93.96,114.0
87,значимый единица язык,6.23,2.4,1.1,10.1,6.7,6.1,2.6,0.9,0.3471,92.25,114.0
88,иберийский кавказский язык,27.2,3.6,4.9,14.7,39.2,26.3,16.5,0.0,0.6684,80.4,81.0
89,иберийский кавказский языкознание,6.36,0.0,0.8,3.8,5.4,6.8,3.8,0.0,0.7064,76.49,54.0
90,изменение значение слово,4.46,9.6,4.4,8.6,4.1,3.8,1.9,1.9,0.3257,92.03,108.0
91,изобразительный выразительный средство,4.82,0.0,1.5,3.0,2.1,3.9,4.8,0.0,0.3835,88.97,106.0
92,инвариантный синтаксический значение,6.55,0.0,1.8,16.8,10.5,5.3,2.1,0.5,0.381,88.95,106.0
93,индивидуально авторский картина,06.04,0.0,0.0,0.0,0.0,3.7,9.0,3.8,0.5717,84.25,73.0
94,интегральный описание язык,17.75,0.0,0.0,0.1,12.1,19.5,13.1,6.1,0.2935,93.75,112.0
95,интерпретация художественный текст,20.62,0.0,0.2,9.2,17.3,21.6,14.0,5.2,0.3451,92.4,116.0
96,история английский язык,13.27,0.0,0.0,10.8,11.6,11.4,11.1,1.9,0.5001,88.32,94.0
97,история лингвистический учение,11.56,0.0,0.2,4.4,7.2,11.9,8.8,2.4,0.3528,92.04,116.0
