,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
1,современный русский язык,748.91,233.4,143.8,602.2,805.2,746.8,434.3,197.9,0.2689,93.7,123.0
2,русский литературный язык,357.27,368.6,256.2,366.5,415.0,338.8,180.1,56.0,0.2982,93.1,123.0
3,современный английский язык,319.91,1.2,22.7,417.2,322.0,288.3,203.0,45.1,0.4254,90.08,121.0
4,языковой картина мир,304.59,0.0,0.0,0.9,85.6,285.4,314.2,131.2,0.308,93.29,118.0
5,логический анализ язык,148.13,0.0,0.7,6.5,91.2,172.6,98.8,24.9,0.3155,93.09,123.0
6,современный немецкий язык,138.46,0.0,10.0,188.4,143.3,135.9,71.4,15.0,0.4376,88.43,120.0
7,язык славянский культура,116.38,0.0,0.0,0.0,0.1,75.5,167.5,114.3,0.3999,91.41,99.0
8,грамматика русский язык,85.9,62.2,30.2,70.4,92.7,84.5,48.7,23.0,0.2759,93.68,123.0
9,история русский язык,69.46,55.1,36.6,52.5,69.2,61.8,46.8,57.4,0.3509,92.24,123.0
10,лексико семантический группа,68.27,0.0,11.4,79.6,60.6,68.0,37.7,23.0,0.2667,93.75,123.0
11,лексико семантический группа,68.27,0.0,11.4,79.6,60.6,68.0,37.7,23.0,0.2667,93.75,123.0
12,язык художественный литература,58.03,40.7,41.2,58.3,73.1,45.6,39.3,40.9,0.2705,94.1,123.0
13,русский разговорный речь,58,15.6,5.4,46.9,70.3,60.4,28.6,29.2,0.2804,93.75,123.0
14,синтаксис русский язык,53.51,14.4,13.9,53.4,73.4,52.1,26.6,8.5,0.2777,93.61,123.0
15,лексический значение слово,52.4,1.2,9.3,48.3,56.9,53.3,27.9,14.1,0.2683,94.33,123.0
16,функционально семантический поле,52.33,0.0,0.0,17.3,55.8,55.8,32.9,8.9,0.3261,92.33,118.0
17,русский народный говор,52.2,34.7,40.0,45.3,42.8,47.3,34.7,15.5,0.4018,90.2,122.0
18,теория речевой акт,51.63,0.0,0.2,5.3,47.9,53.5,38.2,17.9,0.3438,92.28,118.0
19,научно технический термин,51.29,21.5,10.1,53.8,43.6,48.6,33.1,5.2,0.3552,92.23,119.0
20,семантический структура слово,51.28,0.0,5.9,67.8,59.8,52.2,22.4,12.2,0.2998,92.95,123.0
21,тип языковой значение,48.07,0.0,0.0,17.0,46.0,51.8,30.4,7.5,0.2924,93.82,116.0
22,стилистика русский язык,47.83,12.0,4.1,30.5,46.9,48.8,29.9,9.9,0.2741,93.54,122.0
23,современный французский язык,43.7,0.0,3.4,62.0,43.5,43.0,22.0,8.9,0.416,88.49,118.0
24,научно технический терминология,42.96,16.8,6.5,42.6,35.8,42.0,27.0,4.2,0.3572,91.92,116.0
25,лексико семантический система,42.84,2.4,5.2,44.7,42.7,42.2,24.6,10.8,0.2603,94.35,123.0
26,лексика русский язык,40.4,10.8,3.3,25.6,41.2,42.4,23.4,8.5,0.3092,92.77,123.0
27,анализ художественный текст,39.91,1.2,1.3,10.0,24.8,42.9,29.1,10.8,0.327,92.79,120.0
