,word,freq
0,языковой,393050
1,глагол,259706
2,речевой,213478
3,ред,204275
4,лексика,185559
5,концепт,166425
6,дискурс,152320
7,когнитивный,142725
8,грамматика,135411
9,др,131413
10,уна,129395
11,спб,119507
12,употребление,101832
13,функциональный,96996
14,филологический,93590
15,синтаксис,88227
16,функционирование,80499
17,метафора,77588
18,терминология,73149
19,существительное,69575
20,прагматический,69118
21,диалект,68795
22,тюркский,67715
23,стилистика,59906
24,номинация,56468
25,словосочетание,56163
26,интерпретация,54924
27,смысловой,53564
28,разговорный,51260
29,классификация,51203
30,заимствование,48294
31,избранный,48176
32,филология,47052
33,концептуальный,46808
34,энциклопедия,46600
35,наименование,45490
36,просвещение,44449
37,парадигма,43230
38,толковый,42614
39,значимость,42275
40,местоимение,41949
41,выявление,41907
42,системный,40861
43,логический,40337
44,ст,39161
45,оценочный,38741
46,лит,38423
47,прилагательное,37560
48,словарный,37367
49,проза,34902
50,модальность,34875
51,новое,34406
52,ассоциативный,33944
53,обозначение,33755
54,шмелев,33100
55,временный,32798
56,именной,32597
57,устный,31965
58,синоним,31632
59,сравнительный,31594
60,монография,31410
61,пословица,30725
62,познание,30724
63,тематический,30138
64,лингвист,29831
65,экспрессивный,29176
66,англ,29008
67,адресат,28922
68,попов,28738
69,частица,28005
70,преподавание,27838
71,предлог,27794
72,древнерусский,27763
73,актуальность,27677
74,сера,27538
75,исходный,27352
76,образный,27245
77,разновидность,27191
78,закономерность,26786
79,межкультурный,25794
80,моделирование,25307
81,выделение,25198
82,ударение,24764
83,количественный,23721
84,приложение,23701
85,текстовый,23392
86,говорящий,23146
87,слог,23043
88,башкирский,22989
89,известие,22752
90,причастие,22568
91,стих,22408
92,фольклор,22238
93,ментальный,22093
94,новизна,21629
95,стереотип,21566
96,письменность,21508
97,отрицание,21417
98,совокупность,21304
99,немой,21301
100,вторичный,20962
101,толкование,20872
102,словесный,20513
103,англоязычный,20411
104,содержательный,20339
105,топоним,20033
106,го,19930
107,сходство,19298
108,справочник,19278
109,оппозиция,19090
110,эволюция,19053
111,экспериментальный,18988
112,гипотеза,18770
113,предметный,18702
114,татарин,18562
115,арабский,18560
116,географический,18440
117,турецкий,17891
118,риторика,17821
119,трансформация,17505
120,понятийный,17178
121,испанский,17005
122,субъективный,16892
123,вариативность,16771
124,косвенный,16762
125,ядро,16750
126,написание,16497
127,таджикский,16434
128,повтор,16367
129,звуковой,16323
130,актуализация,16298
131,поговорка,16259
132,составление,16243
133,противопоставление,16079
134,повествование,15860
135,щерба,15748
136,филолог,15711
137,наклонение,15637
138,дагестанский,15621
139,горький,15614
140,интонация,15584
141,земский,15471
142,частотный,15366
143,летие,15324
144,ярцева,15273
145,методический,15123
146,азербайджанский,15065
147,абстрактный,14965
148,взаимосвязь,14819
149,гнездо,14788
150,обзор,14727
151,исследовательский,14448
152,динамический,14321
153,общность,14146
154,флинт,14122
155,выборка,14040
156,осмысление,13979
157,фольклорный,13909
158,дифференциация,13584
159,казахский,13501
160,относительный,13423
161,своеобразие,13342
162,направленность,13287
163,ломоносов,13265
164,шведов,13234
165,произношение,13206
166,узбекский,12993
167,составной,12967
168,чехов,12850
169,код,12759
170,частотность,12745
171,разграничение,12719
172,статистический,12579
173,серебренников,12520
174,орфография,12452
175,выраженный,12430
176,проблематика,12428
177,ти,12351
178,неологизм,12329
179,кузнецов,12049
180,сорокин,12029
181,жаргон,11922
182,пер,11691
183,эстетика,11630
184,ценностный,11618
185,лексикон,11548
186,эквивалент,11532
187,заголовок,11501
188,обобщение,11449
189,оригинал,11441
190,интенсивность,11390
191,зависимый,11277
192,порождение,11221
193,коми,11159
194,золотов,11126
195,нейтральный,11078
196,этнос,11036
197,доминанта,11031
198,пласт,11022
199,периферия,11009
200,приставка,10860
201,графический,10813
202,ата,10734
203,родство,10650
204,видимый,10648
205,лихачев,10646
206,воронежский,10575
207,личностный,10567
208,видовой,10528
209,продуктивный,10479
210,включение,10455
211,знаковый,10422
212,взаимоотношение,10419
213,сходный,10418
214,перенос,10396
215,дмитриев,10346
216,методология,10280
217,верещагин,10252
218,стимул,10199
219,летопись,10113
220,основный,10092
221,кузнецова,10086
222,маслов,10055
223,мотивация,10048
224,последовательность,10038
225,текстовой,10004
226,целостный,9974
227,уточнение,9969
228,этикет,9931
229,кавказский,9924
230,публицистика,9914
231,бурятский,9905
232,собеседник,9806
233,прозвище,9801
234,болдырев,9792
235,образность,9743
236,образованный,9721
