термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
язык,25036.92,10215.8,14013.7,18466.0,19528.8,22227.0,18581.3,14141.1,0.1255,97.34,123.0
русский,10265.3,6674.5,5095.8,7085.4,8691.4,9428.7,7230.3,5153.2,0.1541,96.46,123.0
текст,9460.86,1324.8,1089.7,3099.9,5144.0,8416.1,8953.8,3922.7,0.2269,94.82,123.0
слово,8262.45,11561.0,9301.8,8937.2,7872.0,6832.6,5146.8,4352.5,0.1062,97.58,123.0
словарь,3561.97,2448.6,2285.7,2202.7,2541.8,3120.6,2791.7,1974.8,0.1044,97.63,123.0
языковой,3533.5,730.0,616.3,1275.9,2325.2,3288.1,2983.6,2173.2,0.1888,96.04,123.0
речь,3301.38,4447.3,2194.7,2725.1,3274.6,2900.9,2174.1,1842.6,0.0972,97.86,123.0
семантический,3085.42,232.2,567.4,2654.5,2950.5,2951.0,1983.2,1465.1,0.1730,96.18,123.0
глагол,2949.37,1748.5,2073.6,3001.8,2627.3,2283.6,2201.8,4049.7,0.1445,96.46,123.0
говор,2706.45,3754.3,2960.4,2441.3,2420.3,2093.4,1983.1,2343.4,0.1147,97.42,123.0
лингвистический,2510.71,250.1,372.3,1236.4,1936.7,2346.9,1990.3,1369.2,0.1901,96.12,123.0
лингвистика,2297.41,65.8,138.1,819.0,1556.7,2047.1,2083.4,1465.1,0.2245,95.06,123.0
английский,2165.5,256.1,190.5,1450.4,1512.4,1939.4,1797.1,1080.5,0.3784,92.33,123.0
концепт,2115.57,0.0,1.5,30.3,494.1,2079.2,2068.3,1114.3,0.3520,92.49,123.0
предложение,2092.43,1013.7,1634.0,2607.7,2564.9,1808.5,1135.5,683.6,0.1645,96.2,123.0
аспект,2015.01,55.1,169.9,789.7,1560.9,1925.2,1613.5,880.2,0.215,95.6,123.0
семантика,1989.47,81.4,213.5,1076.1,1779.8,1971.0,1371.8,1056.0,0.1822,96.02,123.0
время,1857.13,1896.9,2083.9,1629.2,1532.6,1398.2,1451.1,1663.5,0.1009,97.73,123.0
речевой,1836.78,627.1,255.5,640.6,1441.7,1797.8,1411.1,715.6,0.2273,95.16,123.0
языкознание,1659.97,193.9,538.0,1300.2,1294.1,1548.6,1183.9,739.1,0.1919,96.14,123.0
перевод,1642.44,557.7,710.2,901.9,896.5,1439.0,1367.2,2304.4,0.2706,93.24,123.0
дискурс,1635.74,0.0,0.5,12.7,374.8,1153.3,2146.5,1675.2,0.3682,91.26,122.0
лексика,1625.5,452.4,612.0,1251.9,1406.5,1531.2,1098.3,738.2,0.1742,96.27,123.0
лексический,1502.5,242.9,551.1,1207.0,1317.7,1410.4,1005.8,814.8,0.1499,96.78,123.0
диалект,1231.52,761.2,1782.6,1298.1,950.2,896.9,928.2,1119.5,0.2132,95.28,123.0
когнитивный,1228.51,0.0,0.0,5.0,458.0,1116.5,1271.1,866.1,0.3437,92.59,120.0
грамматика,1211.5,438.0,680.8,1009.3,1176.4,1085.5,820.8,408.1,0.1371,96.86,123.0
конструкция,1206.97,503.8,502.9,1064.5,1018.5,909.0,1041.6,1308.5,0.1551,95.9,123.0
грамматический,1189.32,479.9,825.6,1225.2,1234.0,1020.3,773.3,444.8,0.1299,97.06,123.0
коммуникативный,1188.51,39.5,46.7,458.1,908.9,1125.4,973.6,560.9,0.2324,95.12,123.0
синтаксический,1130.23,344.7,553.4,1354.0,1272.5,992.6,668.9,489.0,0.1558,96.33,123.0
коммуникация,999.44,23.9,17.6,145.5,447.6,870.9,1035.7,606.1,0.2921,93.56,123.0
контекст,995.49,343.5,226.6,656.2,764.6,841.1,830.1,1120.4,0.0998,97.55,123.0
сочетание,986.64,1163.3,1254.9,1297.0,856.2,777.7,612.2,682.2,0.1475,96.59,123.0
немецкий,907.35,327.9,181.5,701.7,658.6,830.5,684.7,542.6,0.331,92.48,123.0
графический,902.38,635.5,649.8,638.9,739.3,733.0,720.2,792.3,0.0885,98.01,123.0
славянский,875.62,825.8,596.5,616.2,830.0,685.8,716.3,546.8,0.1793,95.88,123.0
картина,856.87,180.7,147.7,102.4,363.0,795.9,816.4,518.6,0.2438,94.77,123.0
функциональный,846.85,45.5,103.3,586.6,859.6,818.9,560.9,351.2,0.1978,95.73,123.0
число,845.77,823.4,928.8,699.9,695.9,626.6,685.0,789.4,0.1415,96.79,123.0
жанр,833.34,250.1,197.0,318.0,444.8,741.8,765.7,350.3,0.2436,94.75,123.0
фразеологический,820.58,94.5,279.2,624.8,649.0,738.4,621.8,320.2,0.2558,94.46,123.0
филологический,803.13,225.0,217.3,509.3,643.7,732.8,622.4,265.7,0.1685,96.47,123.0
синтаксис,766.02,166.4,316.6,832.6,912.0,711.7,423.4,227.6,0.2064,95.62,123.0
синоним,694.83,342.3,377.6,736.7,703.3,641.5,402.9,312.2,0.1958,95.79,123.0
функционирование,688.67,46.7,66.8,406.9,604.5,667.2,490.5,348.4,0.1988,95.78,123.0
глагольный,683.38,210.6,433.6,768.7,688.8,556.7,470.7,441.0,0.1574,96.35,123.0
метафора,663.98,80.2,91.3,133.1,433.6,612.8,585.5,627.7,0.2675,94.31,123.0
тюркский,661.9,234.6,3134.1,1665.5,399.5,302.5,296.6,313.1,0.5339,86.3,123.0
французский,639.24,412.9,189.2,463.4,445.1,572.2,490.2,600.4,0.2765,93.54,123.0
стилистический,634.82,552.9,304.9,686.3,590.8,572.6,397.9,221.0,0.1705,96.17,123.0
терминология,626.37,198.7,203.4,526.1,490.7,557.4,473.6,211.6,0.2282,95.08,123.0
стиль,619.43,690.5,386.7,666.5,551.7,554.0,384.8,276.0,0.1565,96.48,123.0
троп,614.47,123.3,182.3,232.7,387.2,555.0,526.7,525.2,0.1522,96.5,123.0
прагматический,598.88,0.0,2.0,162.8,506.9,598.0,454.4,358.7,0.2743,93.83,122.0
фразеология,595.57,76.6,151.9,438.5,475.5,552.3,443.4,119.9,0.2568,94.24,123.0
гласный,590.04,850.9,1311.9,713.7,420.4,342.3,473.5,710.9,0.2975,93.17,123.0
предикат,588.61,46.7,194.4,549.0,694.3,490.8,411.8,484.3,0.1761,96.17,123.0
