word,freq
язык,2213660
русский,1149628
текст,889553
наука,694803
слово,668316
исследование,535595
который,509253
значение,429854
словарь,419218
современный,409131
языковой,393050
речь,383353
семантический,359646
проблема,334227
материал,333915
анализ,322963
вопрос,321822
являться,297717
это,283245
форма,280881
работа,272942
структура,269938
глагол,259706
английский,247882
предложение,245216
единица,244051
мочь,243944
система,243659
культура,242060
также,237570
семантика,231685
Изд??,230227
филол??,229935
лингвистический,227704
мир,227638
тип,224076
человек,222272
лингвистика,220293
свой,219537
время,216117
речевой,213478
аспект,209774
весь,208757
общий,206383
теория,204796
ред,204275
основа,203335
канд??,203148
данный,202683
научный,201486
языкознание,194368
отношение,193779
изучение,189244
особенность,189200
средство,187132
лексика,185559
имя,184608
литература,182543
представлять,177792
лексический,175710
художественный,174133
основной,172410
образ,172336
категория,171818
новый,170256
концепт,166425
часть,164646
термин,163819
иметь,161154
литературный,158354
история,156381
дис??,156264
процесс,156019
дискурс,152320
развитие,151675
первый,150460
выражение,145257
описание,142835
когнитивный,142725
Вып??,140105
год,140046
связь,139641
понятие,139377
коммуникативный,138892
грамматический,138549
перевод,136718
грамматика,135411
группа,134924
метод,132639
синтаксический,131903
др,131413
функция,130973
разный,129898
различный,129419
уна,129395
результат,129168
некоторый,127644
конструкция,127600
век,125417
модель,125117
вид,123996
автор,121311
объект,120566
школа,120030
спб,119507
случай,119456
признак,118309
компонент,116737
коммуникация,116088
статья,113830
характеристика,113378
труд,111807
способ,111632
Автореф??,108043
уровень,107034
например,105859
действие,105311
большой,104123
немецкий,103795
ситуация,102206
употребление,101832
роль,101781
глава,101067
цель,100424
картина,100109
явление,99988
пример,99864
теоретический,99503
национальный,99360
позволять,99292
говорить,98859
произведение,98665
смысл,98241
наш,97408
функциональный,96996
фразеологический,95654
следующий,95585
исторический,95273
число,94795
второй,93866
филологический,93590
название,92862
высокий,92445
контекст,92310
высказывание,91982
сознание,91781
характер,91398
область,91095
элемент,90935
определять,90345
деятельность,90242
качество,88743
определенный,88255
синтаксис,88227
принцип,87974
ряд,87971
становиться,87546
поле,87427
место,86866
рассматривать,86735
образование,86731
использовать,86560
говор,86007
диссертация,84991
личность,84666
подход,84440
однако,83936
составлять,83035
конференция,82468
социальный,82309
изд??,81706
состав,81642
общение,80843
сложный,80581
функционирование,80499
знание,80303
источник,79558
пространство,79477
жизнь,79168
давать,78575
задача,78541
представление,78456
использование,78137
метафора,77588
предмет,77558
содержание,77526
информация,77350
народ,76963
степень,76912
жанр,76162
определение,75931
фактор,75813
сфера,75316
возможность,74526
вариант,74121
французский,74098
введение,73938
точка,73913
специфика,73361
тема,73319
электронный,73298
терминология,73149
см,73074
оценка,73068
отмечать,72804
политический,72697
иной,72579
список,72517
самый,72052
каждый,71785
ссср,71531
культурный,71343
называть,71082
получать,70783
наиболее,70327
пособие,70184
настоящий,69984
университет,69853
положение,69723
существительное,69575
фразеология,69439
связывать,69224
глагольный,69209
сторона,69181
прагматический,69118
стиль,69112
славянский,68935
стилистический,68931
диалект,68795
словообразовательный,68232
книга,68047
обращение,67824
ресурс,67779
тюркский,67715
ан,67396
выявлять,66781
формирование,66730
зрение,66373
вывод,66165
международный,66111
отдельный,65855
состояние,64839
лицо,64488
важный,64470
гос??,64467
сборник,64464
взаимодействие,64259
словообразование,63822
особый,63808
виноградов,63771
данные,63560
сопоставительный,63402
изменение,63088
советский,62417
науч??,62364
обусловливать,62213
именно,61585
практический,61553
ученый,61537
очерк,61329
отражать,61249
структурный,61243
позиция,61232
либо,60985
использоваться,60843
прогресс,60656
лексико??,60635
свойство,60557
последний,60470
выражать,60280
стилистика,59906
реализация,59284
москва,59154
внимание,59128
опыт,58921
знак,58876
лексема,58847
приводить,58827
понимание,58744
россия,58681
сочетание,58576
организация,58433
народный,58044
восприятие,57685
показывать,57495
состоять,56789
номинация,56468
ин,56435
часто,56296
актуальный,56215
рамка,56181
словосочетание,56163
учебный,55641
поэтический,55583
воронеж,55421
яз,55261
интерпретация,54924
Сб??,54829
кн??,54769
период,54689
условие,54516
конкретный,54436
норма,54402
иностранный,54329
языковый,54294
выделять,54267
относиться,54265
ср??,54154
следовать,54153
начало,54098
научно,54093
российский,53923
типология,53774
посвящать,53715
смысловой,53564
создание,53395
факт,53159
друг,52680
внутренний,52599
количество,52474
конец,52397
субъект,52283
план,52270
включать,51896
исследовать,51772
носитель,51468
фразеологизм,51422
разговорный,51260
классификация,51203
обозначать,51171
сравнение,51050
описывать,50743
государственный,50631
класс,50287
зарубежный,50286
сб??,50200
правило,50118
направление,49810
происходить,49688
общество,49159
существовать,49016
выступать,48888
несколько,48772
лишь,48372
помощь,48314
заимствование,48294
наличие,48246
род,48205
избранный,48176
полный,48076
арутюнов,48046
связанный,47820
собственный,47777
писатель,47635
влияние,47502
природа,47424
многий,47403
рассматриваться,47127
характерный,47119
филология,47052
поведение,46992
диссертационный,46939
мысль,46904
автореф??,46845
татарский,46843
концептуальный,46808
энциклопедия,46600
находить,46096
входить,45565
наименование,45490
акт,45328
прием,45211
отражение,45104
различие,45103
поскольку,45024
мгу,44907
просвещение,44449
морфологический,44420
практика,44404
фонетический,43896
исследователь,43779
определяться,43778
институт,43756
вестник,43704
парадигма,43230
падеж,43150
стр??,43104
считать,42965
наречие,42833
дата,42781
поэтому,42736
толковый,42614
традиция,42611
лексикология,42601
соответствие,42563
главный,42335
памятник,42327
вв??,42298
роман,42286
значимость,42275
воздействие,42208
соотношение,42139
местоимение,41949
простой,41941
выявление,41907
древний,41825
творчество,41825
оказываться,41807
широкий,41748
психология,41453
диалог,41380
создавать,41359
показатель,41305
методика,41215
целое,41206
основание,41142
этап,40931
дело,40899
системный,40861
действительность,40645
встречаться,40622
эмоциональный,40543
частность,40486
издание,40416
логический,40337
проводить,40297
доклад,40184
ребенок,40041
гласный,40009
стратегия,39957
возможный,39953
решение,39892
функционально,39879
указывать,39625
дисс??,39595
кроме,39435
ран,39207
поэзия,39198
ст,39161
специальный,39126
механизм,39120
мнение,38959
день,38931
мышление,38925
событие,38909
структурно,38907
оно,38772
оценочный,38741
диалектный,38690
сказать,38680
авторский,38666
человеческий,38634
подобный,38613
философия,38514
причина,38498
возникать,38424
лит,38423
Кубрякова??,38285
изучать,38242
заключаться,38128
известный,37939
Дж??,37846
письмо,37837
тенденция,37759
путь,37755
должный,37718
Дис??,37621
искусство,37581
сила,37564
прилагательное,37560
тр??,37497
предполагать,37464
режим,37433
словарный,37367
интерес,37332
заключение,37286
происхождение,37285
идти,37193
волгоград,37064
доступ,37015
статус,36917
выбор,36866
хотя,36731
среди,36722
находиться,36655
степанов,36486
союз,36421
член,36368
идея,36345
база,36323
учеба,36254
прилагательный,36253
русый,36084
личный,36071
обладать,35984
сделать,35922
черта,35742
сопоставление,35648
серия,35452
очень,35414
центр,35407
эмоция,35276
содержать,35153
употребляться,34970
Отв??,34930
проза,34902
модальность,34875
предлагать,34685
принимать,34673
новое,34406
модальный,34383
прежде,34363
фрагмент,34320
производный,34260
московский,34157
прямой,34151
казань,34133
апресян,34109
объем,34093
лексикография,34075
философский,34063
ассоциативный,33944
оставаться,33936
соответствующий,33822
обозначение,33755
морфология,33415
метафорический,33413
письменный,33411
терминологический,33256
энциклопедический,33214
краткий,33176
общественный,33108
сочинение,33103
шмелев,33100
поэтика,33038
пед??,32983
параметр,32952
образовывать,32896
дальнейший,32890
временный,32798
необходимость,32767
дом,32762
писать,32746
ценность,32651
именной,32597
построение,32595
гг??,32526
любой,32337
разработка,32258
выполнять,32073
предикат,32056
курс,32039
читатель,32017
устный,31965
страна,31893
этимологический,31819
типологический,31747
деловой,31742
поэт,31679
синоним,31632
сравнительный,31594
третий,31452
монография,31410
движение,31106
традиционный,31089
фе,31084
проявляться,31046
значительный,31014
саратов,30919
пословица,30725
познание,30724
суффикс,30622
психологический,30613
служить,30610
взгляд,30558
большинство,30506
чтение,30377
отсутствие,30347
иметься,30262
живой,30237
зависимость,30193
феномен,30139
тематический,30138
лексикографический,29919
устанавливать,29901
буква,29834
лингвист,29831
город,29761
особенно,29760
фонетика,29734
пушкин,29524
гак,29493
оба,29197
экспрессивный,29176
корпус,29108
киев,29081
рассказ,29067
англ,29008
мера,28970
ростов,28958
адресат,28922
ра??,28902
дискурсивный,28898
свет,28884
специфический,28767
попов,28738
газета,28731
комплексный,28680
представляться,28555
перспектива,28552
издательство,28548
внешний,28490
начинать,28453
отечественный,28421
академия,28412
понимать,28376
целый,28274
концепция,28256
рассмотрение,28036
обучение,28012
передача,28011
частица,28005
согласный,27994
свидетельствовать,27974
порядок,27920
собственно,27875
американский,27850
преподавание,27838
предлог,27794
древнерусский,27763
эпоха,27683
актуальность,27677
способствовать,27612
сера,27538
средний,27470
психолингвистика,27422
исходный,27352
характеризоваться,27295
граница,27266
образный,27245
единство,27226
разновидность,27191
махачкала,27104
отличие,27073
прагматика,27048
студент,27018
репрезентация,27013
наблюдение,26893
реклама,26884
автореферат,26866
журнал,26813
сущность,26803
сообщение,26802
раздел,26796
закономерность,26786
существование,26768
звук,26631
появляться,26546
применение,26513
эксперимент,26496
вербальный,26413
устойчивый,26328
пространственный,26205
учет,26171
достаточно,26093
ход,26024
реальный,25848
знать,25805
межкультурный,25794
переть,25661
формальный,25653
номинативный,25633
отличаться,25595
екатеринбург,25587
персонаж,25532
соответствовать,25486
технический,25479
игра,25427
критерий,25420
впервые,25410
делать,25307
моделирование,25307
необходимый,25303
рекламный,25286
уфа,25284
информационный,25250
новосибирск,25221
выделение,25198
сравнительно,25196
женщина,25163
видеть,25149
герой,25136
менее,25124
проявление,25055
аффикс,25006
вызывать,24888
профессиональный,24798
ударение,24764
караулов,24683
поставлять,24674
единый,24636
очередь,24633
вып??,24610
индивидуальный,24556
психолингвистический,24528
отрицательный,24500
способность,24334
восточный,24289
занимать,24281
ключевой,24276
леонтьев,24183
закон,24088
тезис,24030
приходить,23962
земля,23943
интернет,23907
активный,23817
существительный,23808
количественный,23721
приложение,23701
символ,23690
карасик,23633
корень,23521
больший,23516
участник,23436
массовый,23413
текстовый,23392
Телия??,23351
бондарко,23345
ь??,23194
говорящий,23146
обычно,23145
становление,23110
сказка,23067
память,23065
слог,23043
момент,23023
башкирский,22989
обнаруживать,22949
красный,22879
известие,22752
выходить,22638
универсальный,22621
методологический,22596
причастие,22568
семиотика,22523
правда,22480
иноязычный,22435
стих,22408
рука,22382
толстой,22361
естественный,22300
фольклор,22238
Стернин??,22178
записка,22164
ментальный,22093
появление,22062
необходимо,21953
молодой,21935
предел,21932
иванов,21918
значимый,21889
характеризовать,21875
круг,21825
касаться,21747
фон,21704
стихотворение,21700
половина,21675
газетный,21675
